UID,MID,StartTime,EndTime
732,3742,2007-03-30 00:49:32,2007-03-30 03:09:01
3404,4442,2004-11-14 15:51:56,2004-11-14 16:40:51
317,7070,2022-11-23 00:22:32,2022-11-23 02:12:21
4259,3898,1994-04-24 17:17:39,1994-04-24 19:03:38
3957,5412,2023-02-12 16:43:39,2023-02-12 17:48:02
4902,6148,2021-06-23 20:08:13,2021-06-23 21:24:43
3407,41,2022-06-07 02:08:04,2022-06-07 02:47:08
2988,1127,2019-07-13 02:15:09,2019-07-13 03:25:41
3859,4289,2025-03-18 10:57:59,2025-03-18 11:37:48
2381,5112,2021-05-07 10:24:34,2021-05-07 12:47:29
988,5696,2024-06-25 11:49:04,2024-06-25 12:06:19
4950,1359,2019-01-03 12:35:11,2019-01-03 13:52:17
4459,6589,2025-01-04 17:32:27,2025-01-04 18:17:47
4596,449,2021-12-07 15:31:40,2021-12-07 16:08:34
2935,4732,1973-12-04 04:34:58,1973-12-04 04:51:50
408,1850,2025-08-13 20:33:26,2025-08-13 21:34:40
4642,15,2024-09-07 13:26:28,2024-09-07 14:26:30
3221,2497,2021-07-09 14:22:11,2021-07-09 15:33:33
3791,4813,2023-12-01 06:00:35,2023-12-01 06:50:19
3699,1753,2023-02-10 10:25:35,2023-02-10 10:42:02
4409,1641,2025-03-15 06:41:35,2025-03-15 07:51:55
3023,6712,2022-05-11 09:38:18,2022-05-11 10:41:59
2342,6131,2024-01-19 09:35:55,2024-01-19 11:04:21
2640,665,2020-08-13 14:27:48,2020-08-13 16:52:43
373,5791,2020-02-25 23:17:18,2020-02-25 23:29:53
3812,5564,2024-08-01 12:22:47,2024-08-01 12:37:19
4489,612,2013-12-09 21:42:44,2013-12-09 21:58:46
4696,4145,2005-06-07 21:25:57,2005-06-07 22:23:47
661,4866,2017-12-28 18:29:20,2017-12-28 20:17:00
1779,1850,2012-01-05 23:12:03,2012-01-06 01:04:04
2816,1689,2022-06-13 05:52:36,2022-06-13 07:09:43
2795,5173,2014-05-12 01:01:24,2014-05-12 01:45:52
1387,339,2007-06-04 13:03:20,2007-06-04 13:27:44
3915,6744,2023-04-24 13:04:32,2023-04-24 13:54:48
3375,475,2020-12-21 07:26:35,2020-12-21 07:45:03
4001,6012,2019-01-29 12:45:35,2019-01-29 14:10:20
848,4440,2024-11-22 20:45:02,2024-11-22 21:45:39
1129,3228,2023-02-17 19:42:53,2023-02-17 22:41:22
4565,3792,2014-11-24 13:49:22,2014-11-24 14:30:20
68,5776,2024-07-23 23:19:59,2024-07-23 23:48:29
485,5547,2024-02-04 04:52:51,2024-02-04 05:09:55
4777,4259,2023-03-07 15:17:09,2023-03-07 16:16:23
2311,4079,2016-02-07 00:54:50,2016-02-07 02:06:26
3600,3793,2025-07-03 03:46:28,2025-07-03 05:59:55
3532,7110,2024-12-31 12:11:53,2024-12-31 13:45:21
1963,8664,2023-12-02 02:54:09,2023-12-02 03:24:42
3136,8140,2025-04-02 00:09:03,2025-04-02 01:19:06
3930,3245,2013-07-04 20:05:33,2013-07-04 21:20:38
4346,5663,2012-05-06 23:56:14,2012-05-07 01:28:03
2253,6233,2023-11-06 01:38:33,2023-11-06 03:09:34
3205,320,1991-07-30 21:37:38,1991-07-30 21:58:40
2761,5654,1998-12-31 12:58:37,1998-12-31 13:43:09
567,7209,2025-04-25 17:22:26,2025-04-25 17:56:26
494,2833,2024-11-27 03:29:16,2024-11-27 04:05:34
3163,344,2022-05-07 01:19:41,2022-05-07 02:50:25
2754,4983,2015-01-26 05:53:56,2015-01-26 07:55:33
1493,6122,2023-09-04 22:29:06,2023-09-04 23:02:52
1729,2738,2024-06-11 19:08:55,2024-06-11 20:19:41
1630,1617,2023-06-14 22:14:28,2023-06-14 23:28:00
2735,5782,2019-08-26 00:39:03,2019-08-26 01:39:57
1214,7509,2022-04-25 21:43:37,2022-04-25 22:07:43
29,5068,2002-08-16 23:09:40,2002-08-16 23:28:59
3946,8082,2002-11-09 01:52:19,2002-11-09 02:59:59
1569,4367,2023-08-12 13:39:11,2023-08-12 14:34:31
966,8578,2020-02-27 03:05:16,2020-02-27 03:37:01
768,8022,2024-06-12 12:04:31,2024-06-12 12:42:51
4516,6458,2012-02-24 18:58:17,2012-02-24 19:56:21
3528,3607,2024-01-19 08:10:24,2024-01-19 09:05:03
46,2248,2024-07-13 13:13:17,2024-07-13 13:37:55
123,1733,2019-11-06 12:37:28,2019-11-06 13:49:02
3163,1971,2014-09-01 22:17:47,2014-09-01 23:51:19
3426,7520,2021-09-08 16:01:20,2021-09-08 16:58:54
2468,1065,2024-10-22 06:53:51,2024-10-22 08:38:12
2174,7164,2015-11-19 20:36:32,2015-11-19 21:40:48
4027,7987,2015-06-17 13:10:50,2015-06-17 13:33:50
3897,8327,2024-10-23 19:49:24,2024-10-23 22:10:46
4877,8301,2025-11-01 20:50:59,2025-11-01 20:59:29
2696,2616,2023-05-05 03:03:57,2023-05-05 04:24:23
2969,4037,2022-10-09 13:21:49,2022-10-09 14:59:46
383,8100,2015-09-30 06:30:55,2015-09-30 07:27:50
767,5520,2006-12-10 07:55:29,2006-12-10 09:16:23
2721,407,2023-10-13 04:36:17,2023-10-13 05:14:08
1324,3622,2024-05-06 12:24:02,2024-05-06 13:50:13
4418,1678,2024-10-29 05:11:17,2024-10-29 06:11:48
3352,1504,2019-05-19 00:02:51,2019-05-19 01:33:24
1683,6137,2024-06-08 15:18:23,2024-06-08 15:59:15
3963,3819,2021-04-16 13:24:12,2021-04-16 14:49:37
3636,5611,2023-05-23 23:19:01,2023-05-23 23:38:52
3571,7199,2023-04-18 08:45:21,2023-04-18 10:26:27
157,5883,2020-06-23 16:48:42,2020-06-23 17:16:32
4719,2829,2024-06-16 22:46:52,2024-06-16 23:20:54
520,4107,2020-04-30 06:10:19,2020-04-30 07:15:29
3596,7543,2014-11-18 23:38:23,2014-11-19 00:47:50
2158,66,2021-05-30 21:02:17,2021-05-30 21:40:36
1267,3391,2002-10-25 07:12:30,2002-10-25 07:45:31
2758,7921,2021-05-01 13:18:39,2021-05-01 14:30:48
4496,6835,2025-03-18 11:01:02,2025-03-18 12:34:57
4080,4267,2022-09-23 22:29:17,2022-09-23 23:31:01
166,5850,2022-05-31 03:50:40,2022-05-31 05:06:21
1791,3304,2023-07-12 02:07:45,2023-07-12 03:11:27
2526,800,2024-02-28 07:51:02,2024-02-28 09:21:23
527,7303,2020-12-14 16:18:03,2020-12-14 17:08:42
100,4736,2023-03-25 23:39:22,2023-03-26 01:23:09
1607,7877,2025-09-01 14:53:38,2025-09-01 15:20:31
2718,615,2020-05-14 18:11:45,2020-05-14 19:58:11
4033,6080,2023-07-11 01:20:58,2023-07-11 03:05:09
1148,7540,2012-11-23 10:14:12,2012-11-23 11:19:29
3059,5586,2021-08-23 05:48:29,2021-08-23 08:04:37
916,4630,2024-12-20 03:34:23,2024-12-20 04:32:29
1233,3952,2022-06-07 13:17:48,2022-06-07 13:49:56
2467,1979,2022-03-31 15:44:29,2022-03-31 17:41:27
3122,7857,2021-11-04 16:13:18,2021-11-04 17:36:02
3143,3689,2012-10-29 21:03:24,2012-10-29 22:35:02
160,280,2019-06-26 17:37:01,2019-06-26 17:45:30
437,7815,1990-07-23 04:23:31,1990-07-23 05:02:33
1501,1770,1989-03-13 21:58:52,1989-03-13 23:57:16
4328,4380,2020-03-31 22:04:21,2020-04-01 00:21:22
4314,3246,2024-02-24 06:06:52,2024-02-24 06:31:15
785,5315,2020-04-11 17:46:21,2020-04-11 18:44:15
1561,7339,2025-05-03 20:27:24,2025-05-03 22:15:50
2722,1105,2025-12-13 06:55:25,2025-12-13 07:34:45
4343,4572,2025-03-20 06:14:55,2025-03-20 07:26:27
2279,6916,2022-04-07 01:59:10,2022-04-07 03:29:23
767,7961,2025-01-27 00:39:18,2025-01-27 01:17:56
3601,8752,2025-09-16 13:52:52,2025-09-16 15:07:12
2187,6616,2021-04-11 12:00:46,2021-04-11 13:13:53
2440,5355,2025-06-22 18:51:06,2025-06-22 21:15:13
1242,1272,2017-12-05 18:41:28,2017-12-05 19:54:49
2865,4878,2021-05-23 00:36:42,2021-05-23 01:08:31
4801,4630,2021-07-15 09:53:08,2021-07-15 10:34:00
2135,7494,1995-03-06 03:14:32,1995-03-06 03:43:38
2397,3207,2025-01-21 09:59:22,2025-01-21 11:59:49
1297,3348,2024-11-03 00:22:50,2024-11-03 02:27:41
2847,3969,2024-03-31 22:18:33,2024-03-31 22:48:20
2418,5310,2024-10-07 09:01:14,2024-10-07 10:59:10
1108,6026,2004-02-22 18:42:26,2004-02-22 19:41:34
632,7057,2024-02-21 06:40:46,2024-02-21 07:27:32
3486,3267,2019-09-28 05:15:12,2019-09-28 06:04:05
4208,7173,2022-09-21 06:18:44,2022-09-21 07:19:11
1066,7081,1990-08-03 03:31:35,1990-08-03 03:51:50
2101,7154,2011-05-16 03:53:27,2011-05-16 04:31:08
1133,349,2018-09-21 04:44:44,2018-09-21 05:05:47
3271,732,2025-02-04 17:11:56,2025-02-04 18:12:05
1595,8001,2014-02-07 04:17:45,2014-02-07 04:28:40
3562,4252,1999-02-22 06:27:41,1999-02-22 08:11:05
583,5853,2010-04-25 06:35:21,2010-04-25 07:44:55
71,896,2017-11-02 18:24:13,2017-11-02 20:02:24
4054,1686,2006-06-15 13:38:48,2006-06-15 14:41:24
921,7496,2025-01-15 04:05:13,2025-01-15 04:35:04
2322,4278,2024-12-11 03:44:45,2024-12-11 04:59:33
852,1497,2022-06-16 06:51:23,2022-06-16 07:03:33
2582,4572,2025-03-21 06:17:57,2025-03-21 08:32:38
3945,1,2024-10-27 07:58:29,2024-10-27 09:02:09
1828,520,2020-08-20 17:08:52,2020-08-20 17:25:16
3788,4082,2023-06-15 17:19:52,2023-06-15 18:04:18
4841,6884,2011-08-31 00:32:03,2011-08-31 00:59:08
1985,5552,2023-06-27 15:20:22,2023-06-27 16:03:34
3174,3277,2022-04-17 05:02:58,2022-04-17 07:24:44
1156,7376,2011-08-02 10:06:08,2011-08-02 11:38:24
4806,599,2020-09-15 00:17:13,2020-09-15 01:48:43
647,5550,2025-08-06 11:43:59,2025-08-06 13:08:10
4997,3957,2025-01-08 17:16:39,2025-01-08 19:00:11
592,359,2000-02-15 09:46:50,2000-02-15 09:59:12
2382,8434,2021-08-10 21:54:49,2021-08-10 23:19:46
2550,2848,2021-11-27 00:00:32,2021-11-27 01:12:01
4961,821,2021-06-27 20:46:33,2021-06-27 21:35:23
505,6955,2025-06-30 10:34:36,2025-06-30 10:54:16
1908,5113,2024-12-18 07:56:19,2024-12-18 09:45:47
1336,6035,2003-11-07 13:43:38,2003-11-07 15:09:41
4400,2453,2013-02-19 10:48:58,2013-02-19 12:55:25
279,6233,2023-04-21 22:34:21,2023-04-21 23:56:20
916,5659,2025-04-11 16:04:59,2025-04-11 17:35:31
4396,3319,2023-10-12 12:25:38,2023-10-12 12:56:29
916,4660,2019-06-08 07:25:20,2019-06-08 07:47:05
80,8247,2025-01-17 01:21:38,2025-01-17 01:40:40
491,496,2020-09-08 08:17:21,2020-09-08 08:44:15
3599,2084,2017-11-23 01:25:20,2017-11-23 02:37:30
2354,5126,2010-04-30 11:35:04,2010-04-30 12:04:43
1856,4092,2022-10-25 02:17:26,2022-10-25 03:08:41
1991,5312,2025-02-06 21:50:08,2025-02-06 22:39:43
924,5068,2021-04-02 20:15:19,2021-04-02 21:06:43
1334,4778,2025-03-12 08:09:57,2025-03-12 08:52:42
53,6333,2012-01-07 06:00:39,2012-01-07 06:25:20
456,7045,2016-05-25 13:30:01,2016-05-25 14:13:14
1094,7835,2021-11-03 12:21:35,2021-11-03 13:10:58
3775,4011,2023-11-05 18:00:32,2023-11-05 18:14:17
396,497,2022-03-25 05:12:27,2022-03-25 05:38:12
419,2934,2023-04-22 23:20:23,2023-04-22 23:44:33
1071,3784,2024-09-24 13:10:36,2024-09-24 14:58:53
4347,20,2020-02-09 14:55:38,2020-02-09 15:20:19
2478,6112,2019-10-16 18:54:21,2019-10-16 19:42:58
1229,4665,2024-04-22 13:41:21,2024-04-22 15:07:57
2234,5168,2016-03-30 22:02:45,2016-03-30 23:54:38
4760,4271,2000-03-29 14:47:35,2000-03-29 15:29:02
2202,5010,2023-11-10 19:47:26,2023-11-10 22:07:29
1466,2870,2023-06-09 23:45:45,2023-06-10 00:11:59
1105,8181,2024-05-12 12:36:12,2024-05-12 14:31:15
3464,3112,2019-12-23 14:17:27,2019-12-23 14:59:10
559,7508,2023-12-20 23:15:06,2023-12-21 00:05:55
3186,6572,2025-01-18 00:09:04,2025-01-18 00:34:47
3069,5034,2009-11-13 19:11:54,2009-11-13 19:37:45
1341,2592,2020-12-17 08:44:52,2020-12-17 10:11:35
1679,6929,2023-08-08 23:13:10,2023-08-09 00:32:58
248,732,2024-04-15 03:52:09,2024-04-15 04:33:56
326,4627,2022-06-22 01:12:58,2022-06-22 01:34:53
810,3987,2013-11-19 08:29:23,2013-11-19 09:33:12
258,2081,2017-02-09 13:41:51,2017-02-09 15:11:48
2506,2198,2024-08-18 17:30:32,2024-08-18 17:57:40
2489,1086,2020-01-29 10:08:49,2020-01-29 11:19:19
1361,197,2018-08-14 19:44:49,2018-08-14 20:06:04
2983,7840,2020-12-12 08:56:28,2020-12-12 09:12:10
808,7680,2025-03-10 14:28:48,2025-03-10 15:01:45
1794,2325,2022-05-06 22:09:57,2022-05-06 22:44:07
4675,471,2025-08-14 00:46:02,2025-08-14 01:04:25
3759,4323,2025-12-13 22:14:48,2025-12-13 23:03:19
1859,1720,2023-02-02 00:30:51,2023-02-02 01:34:04
2600,6278,2019-12-13 19:51:42,2019-12-13 21:20:45
3383,821,2021-09-18 06:08:31,2021-09-18 07:12:54
2700,5986,2024-10-22 17:36:27,2024-10-22 18:20:33
3613,6522,2024-10-09 13:28:45,2024-10-09 13:39:32
1074,6142,2022-11-03 22:18:57,2022-11-03 23:35:24
2553,174,2020-02-20 06:49:32,2020-02-20 07:35:50
4146,6016,2024-05-29 08:29:48,2024-05-29 09:04:10
3013,3427,2024-11-07 03:21:24,2024-11-07 04:46:45
4920,7793,2024-09-16 01:04:30,2024-09-16 01:42:34
2024,2331,2021-04-04 06:07:32,2021-04-04 07:44:18
4640,3842,2015-05-05 21:56:54,2015-05-05 22:14:19
4885,2359,2023-09-30 06:45:13,2023-09-30 07:47:54
1937,8356,2025-06-02 01:46:10,2025-06-02 02:53:21
2375,6721,2011-06-19 19:05:40,2011-06-19 19:56:44
2008,1285,1971-03-29 15:56:51,1971-03-29 16:20:53
2089,4900,2024-09-11 12:07:39,2024-09-11 13:42:21
2940,1396,2022-03-11 07:30:31,2022-03-11 08:53:04
3487,3512,2024-05-17 13:33:58,2024-05-17 14:39:42
4724,190,2022-08-02 17:38:06,2022-08-02 18:09:29
4191,1795,2008-10-20 05:06:21,2008-10-20 06:00:58
2551,7212,2019-05-01 15:14:03,2019-05-01 15:49:19
2360,964,2024-11-29 17:00:15,2024-11-29 17:34:02
335,141,2020-05-09 01:44:44,2020-05-09 01:58:42
556,6455,2020-08-28 13:21:30,2020-08-28 15:15:34
3678,5120,2019-11-24 17:18:20,2019-11-24 19:38:28
4729,7030,2017-02-18 11:25:13,2017-02-18 13:11:14
2323,1324,2024-01-06 08:35:06,2024-01-06 10:15:59
2016,5834,2024-12-01 16:43:19,2024-12-01 17:30:33
3286,2119,2023-04-05 23:18:12,2023-04-06 01:07:24
3018,978,2020-12-29 08:34:19,2020-12-29 09:32:42
2615,4415,2025-11-10 00:25:55,2025-11-10 01:21:40
1626,4401,2025-11-24 06:29:32,2025-11-24 08:15:52
2910,8412,2025-01-09 10:41:42,2025-01-09 11:53:47
1742,7642,2016-09-06 17:16:16,2016-09-06 18:08:07
3565,3371,2023-06-19 16:27:14,2023-06-19 18:16:02
276,7864,2022-01-13 17:45:00,2022-01-13 18:23:47
3304,7633,2023-03-29 08:57:50,2023-03-29 09:17:56
1600,3881,2012-12-04 12:03:25,2012-12-04 13:08:59
346,778,2025-01-27 22:37:18,2025-01-27 23:25:40
1810,3482,2025-10-15 18:34:40,2025-10-15 19:47:43
75,7096,2020-07-23 00:06:30,2020-07-23 00:26:06
2610,7154,2025-02-16 02:24:13,2025-02-16 02:56:16
4649,7120,2022-10-25 15:03:20,2022-10-25 15:53:34
672,5413,2022-02-05 15:54:11,2022-02-05 17:18:59
581,6327,2007-12-20 21:21:29,2007-12-20 22:03:05
952,6044,2018-07-22 08:56:06,2018-07-22 09:32:35
1826,3742,2022-09-15 08:22:36,2022-09-15 09:29:33
3049,5916,2022-12-11 02:38:28,2022-12-11 02:46:11
3340,8426,2025-07-08 23:13:26,2025-07-08 23:27:06
2741,1434,2024-09-23 08:19:26,2024-09-23 09:33:19
1162,1608,1999-02-21 18:17:10,1999-02-21 18:40:34
3596,3151,1997-04-06 17:48:24,1997-04-06 18:54:06
991,2869,2022-02-23 02:23:25,2022-02-23 03:27:10
723,7181,2023-11-07 22:22:05,2023-11-07 23:19:43
4610,3219,2022-06-07 05:56:49,2022-06-07 07:11:12
1811,743,2023-11-08 22:56:09,2023-11-09 00:19:09
1073,4010,2022-02-05 12:42:12,2022-02-05 13:49:02
662,4743,2020-07-07 10:59:52,2020-07-07 11:23:45
3805,6872,2024-07-09 02:37:56,2024-07-09 03:57:03
4694,7378,2007-01-11 19:43:10,2007-01-11 20:34:30
4820,1616,2025-01-12 01:49:48,2025-01-12 03:27:26
1754,567,2021-12-07 08:58:19,2021-12-07 09:30:29
1173,6146,2024-10-16 18:36:01,2024-10-16 18:59:30
4766,5693,2019-04-18 02:46:30,2019-04-18 03:14:08
1902,1534,2012-03-22 17:15:12,2012-03-22 18:08:57
3573,6893,2016-09-05 17:17:11,2016-09-05 17:31:40
4314,6235,2023-01-13 07:06:41,2023-01-13 07:38:50
187,606,2025-05-25 16:40:48,2025-05-25 18:07:37
1443,2776,2025-02-08 09:00:14,2025-02-08 10:35:00
4233,8485,2020-07-15 08:11:41,2020-07-15 09:35:00
2457,8778,2014-10-15 11:28:53,2014-10-15 11:54:11
4830,441,2021-03-03 08:39:46,2021-03-03 09:17:53
3961,4404,2022-08-27 20:20:47,2022-08-27 22:11:08
750,6646,1984-02-19 02:26:59,1984-02-19 03:10:17
528,4831,2024-11-14 13:19:35,2024-11-14 14:39:10
254,1931,2017-09-10 13:12:18,2017-09-10 13:30:13
4082,6446,1977-10-31 08:03:48,1977-10-31 09:31:15
2871,6023,2023-08-14 06:59:29,2023-08-14 07:39:56
3522,3442,2019-04-24 03:41:43,2019-04-24 04:47:02
1805,147,2016-11-05 03:30:25,2016-11-05 04:24:52
1573,3288,2023-10-05 10:13:16,2023-10-05 11:17:41
3551,28,1990-06-09 06:23:26,1990-06-09 07:20:24
1947,7857,2020-11-27 07:24:18,2020-11-27 08:04:52
297,118,2020-12-29 13:20:19,2020-12-29 13:54:08
1101,5254,2023-10-17 03:48:48,2023-10-17 03:56:46
1104,499,2025-03-13 03:09:24,2025-03-13 04:27:11
149,8525,2024-01-27 11:38:24,2024-01-27 12:42:27
4781,4205,2003-11-02 01:33:49,2003-11-02 02:18:28
660,7102,2023-08-16 06:15:08,2023-08-16 08:00:25
3055,1447,2024-02-25 17:17:06,2024-02-25 18:03:14
2321,6521,2025-02-10 16:14:07,2025-02-10 17:29:59
2802,3089,2022-11-13 16:59:41,2022-11-13 18:12:19
3168,1249,2018-03-08 03:58:40,2018-03-08 05:19:05
4466,1852,2019-07-02 03:08:50,2019-07-02 04:46:28
828,8194,2024-04-25 15:56:34,2024-04-25 16:32:25
854,2515,2025-04-14 22:40:54,2025-04-15 00:19:22
1957,6803,2012-02-05 22:31:27,2012-02-05 23:40:52
2999,6972,2023-10-26 19:10:08,2023-10-26 19:50:48
1424,148,2021-07-01 15:29:05,2021-07-01 17:20:40
1538,2677,2017-12-20 06:51:23,2017-12-20 07:15:05
2621,7755,2025-02-24 21:38:55,2025-02-24 23:03:33
2653,4958,2023-06-15 19:07:35,2023-06-15 19:53:11
3684,3425,2021-08-09 22:10:21,2021-08-09 22:35:15
4964,1259,2023-02-16 18:46:13,2023-02-16 19:36:33
3706,2051,1989-05-17 20:56:11,1989-05-17 21:20:30
2835,4873,2020-11-30 23:56:21,2020-12-01 00:13:08
2092,2001,2022-07-18 02:17:02,2022-07-18 03:02:00
2119,5650,2020-11-04 19:22:18,2020-11-04 19:33:15
475,4677,2025-11-19 15:58:52,2025-11-19 17:27:15
114,6412,2024-07-08 18:09:24,2024-07-08 18:21:22
4292,8254,2020-12-28 00:17:38,2020-12-28 01:15:43
4168,1728,2020-06-16 12:13:49,2020-06-16 13:32:49
472,4441,2003-09-18 07:30:07,2003-09-18 07:55:18
4011,5692,2021-10-31 15:10:35,2021-10-31 16:14:03
1167,2648,2021-07-06 06:59:54,2021-07-06 08:14:46
991,21,2024-01-26 18:52:04,2024-01-26 20:00:12
1309,3019,2023-10-27 17:59:17,2023-10-27 18:13:21
4437,7761,2018-11-12 16:37:51,2018-11-12 18:01:45
3961,1806,2025-04-10 15:43:33,2025-04-10 16:36:25
3767,926,2024-09-18 10:23:08,2024-09-18 11:55:31
2419,250,2021-03-23 14:55:04,2021-03-23 16:20:23
3556,6237,2021-03-26 11:19:13,2021-03-26 11:45:13
3259,3174,2025-06-07 21:45:54,2025-06-07 23:09:19
4769,1287,2024-05-27 19:19:42,2024-05-27 19:48:58
4104,5066,2023-09-05 14:21:09,2023-09-05 15:03:37
3646,3706,2024-11-06 23:51:06,2024-11-07 01:20:16
1073,5337,2025-03-07 13:32:52,2025-03-07 15:13:48
4032,4313,2025-01-30 22:53:53,2025-01-31 01:04:23
4521,1081,2023-12-31 20:10:37,2023-12-31 20:25:55
1991,2130,2006-11-02 09:17:48,2006-11-02 09:52:00
3215,4318,2024-10-28 17:25:27,2024-10-28 18:48:46
4268,6012,2024-01-29 11:28:50,2024-01-29 11:44:55
4924,8237,1994-07-29 21:07:55,1994-07-29 22:48:03
820,883,2015-07-22 18:41:52,2015-07-22 19:22:08
2820,2801,2021-03-26 01:17:59,2021-03-26 02:07:45
3576,249,2024-10-28 07:42:09,2024-10-28 09:21:27
2337,852,2020-05-21 17:41:45,2020-05-21 18:06:49
562,3098,2018-04-30 06:56:55,2018-04-30 07:12:23
67,8556,2023-05-17 15:40:36,2023-05-17 16:18:49
93,6755,2016-10-30 07:51:39,2016-10-30 08:21:07
2468,3667,2020-12-16 18:03:05,2020-12-16 20:08:58
412,475,2023-02-10 18:48:49,2023-02-10 20:07:37
2629,7325,2025-12-20 06:28:28,2025-12-20 08:06:10
3489,6688,2013-08-05 09:12:57,2013-08-05 09:28:53
2586,6574,2022-02-16 21:14:19,2022-02-16 21:59:12
3777,5877,2014-07-21 16:22:11,2014-07-21 16:39:59
1028,1480,2022-07-09 07:17:18,2022-07-09 09:15:15
13,4553,2005-02-01 00:19:26,2005-02-01 01:12:21
1222,118,2014-10-23 10:06:40,2014-10-23 10:27:55
1279,1168,2024-11-15 04:24:47,2024-11-15 05:31:27
4473,1292,2023-08-17 13:14:53,2023-08-17 13:40:19
119,661,2021-10-11 15:30:19,2021-10-11 16:08:10
2554,5039,2024-11-27 05:56:13,2024-11-27 07:20:47
4529,41,2023-10-28 11:16:51,2023-10-28 12:45:24
4909,2060,2025-02-14 08:17:26,2025-02-14 09:30:35
3473,4885,2019-03-09 19:59:07,2019-03-09 21:08:06
3134,1587,2020-08-04 05:46:45,2020-08-04 06:36:50
4929,1052,2022-10-01 03:57:47,2022-10-01 04:47:12
2580,891,2017-10-31 18:22:13,2017-10-31 19:40:23
2089,635,2024-04-14 05:03:57,2024-04-14 05:58:25
2424,6302,2025-08-10 03:15:58,2025-08-10 03:38:33
2190,1068,2024-04-13 13:08:44,2024-04-13 14:43:09
4402,3069,2024-12-17 21:39:59,2024-12-17 22:56:51
1212,4663,2019-07-27 12:20:24,2019-07-27 13:58:15
663,8754,2021-02-13 22:45:56,2021-02-13 23:13:03
1503,4571,2008-12-09 22:54:06,2008-12-09 23:39:50
4315,1819,2023-08-19 19:19:07,2023-08-19 19:47:20
4534,1192,2009-12-11 16:03:51,2009-12-11 16:54:52
