MID,GID
4197,5
6223,12
3350,14
740,14
4192,1
6901,7
5756,14
3984,15
8308,3
4219,13
5712,12
4234,11
735,18
1582,6
8063,19
5895,5
2269,20
4448,2
1655,19
6332,3
7159,1
4091,2
378,13
4778,6
3036,5
7208,9
7572,11
8625,6
5551,20
1611,1
7743,1
1418,3
5174,17
4438,16
1674,12
2210,1
6260,7
506,6
3178,2
4763,8
5693,18
2073,9
3072,1
7869,8
7752,4
3736,15
5810,4
1538,12
7826,10
6845,12
7903,3
5500,5
3684,18
6492,11
5611,11
5401,4
3559,9
4208,3
5531,2
637,9
1318,19
6221,3
5168,17
3149,16
7691,9
291,6
5245,20
5161,2
455,2
8003,9
6888,6
7295,9
4660,15
5415,11
7099,13
486,3
1639,5
3932,8
7221,8
7169,19
991,10
8804,10
5974,3
8615,13
3865,15
3648,10
7847,13
6006,7
5211,7
5998,7
221,2
5122,12
2986,5
7818,11
844,12
3977,4
1204,16
927,9
8134,20
1722,4
5353,2
998,11
564,11
649,5
6350,12
3354,10
7659,6
5994,19
2626,10
2093,13
6734,14
7385,14
728,5
1490,19
7766,8
7249,17
4375,3
8062,12
7877,14
6402,15
7873,17
7910,13
8667,13
2101,1
2953,3
7235,15
7793,20
7494,11
1142,8
2036,18
3191,2
2265,19
8095,17
4397,3
16,20
6071,2
1627,16
1314,14
7189,7
1240,17
7969,4
1880,13
7076,1
6737,20
4853,7
22,11
4301,6
7590,18
1762,11
8590,8
470,18
5261,9
2364,15
1802,16
8751,13
4671,4
948,17
7652,14
7240,14
2067,14
1742,6
8719,12
3969,16
2077,19
4817,20
2669,13
1004,5
3211,13
7550,4
2302,3
1884,14
5193,20
7834,1
101,7
35,13
1509,16
7710,12
7417,13
3433,18
7482,1
5925,19
5849,9
4429,9
3638,17
2836,8
4220,13
5158,12
4926,13
1749,3
3998,9
79,9
7978,12
2312,18
8548,12
4896,2
2587,7
995,10
4139,14
8459,8
7822,13
3063,11
8355,12
6587,9
1239,3
3674,12
2228,4
2989,19
8350,9
3203,19
8711,4
4647,11
908,7
2569,16
6029,9
5039,9
1481,13
4126,16
3933,12
3483,12
1525,12
5090,15
6069,16
898,1
2497,13
4824,20
2105,7
8436,5
845,20
8797,16
7029,13
1928,8
8533,8
6566,8
69,9
2148,3
6084,1
1883,8
8294,18
6074,1
2010,2
1114,6
5556,10
1426,12
8112,1
2785,10
8591,4
6679,17
8388,9
2237,15
3437,7
6914,10
2907,10
3370,6
211,6
5279,18
2387,10
2081,14
2249,7
2327,1
7137,2
2705,18
7459,13
6639,13
1277,2
1088,2
7317,17
5468,14
3079,8
7474,7
248,17
239,12
942,4
5207,14
3660,5
2397,9
4549,17
3940,1
494,4
2034,19
2903,13
1275,3
3351,10
238,12
3495,3
2419,9
797,2
7876,14
4330,19
138,9
4945,6
8130,16
7702,1
6547,20
104,16
1651,8
2170,19
8250,8
8568,3
642,16
5165,13
7946,11
419,10
6825,9
1186,1
1271,8
2966,13
7741,4
6008,13
6170,2
1011,16
2913,1
877,5
1806,13
7783,17
1634,1
3084,20
1934,1
6135,15
6414,15
7596,13
3922,16
610,20
7867,5
8546,18
7081,14
537,19
2901,17
8776,18
2168,1
6744,3
306,9
5557,12
8654,16
7478,14
1769,13
7065,5
1386,17
6589,4
4645,5
869,18
4086,18
6636,16
177,17
1479,20
7552,5
7944,1
5837,3
4202,15
7751,8
8684,18
5651,9
4879,18
6883,14
8469,4
531,9
4873,1
5512,10
1661,20
851,13
4675,4
7349,1
4614,9
8791,6
1173,8
4161,6
1923,6
284,8
6777,9
8026,15
8100,9
8371,11
544,14
2896,1
6327,2
1727,14
5802,7
622,19
4013,7
2048,13
5458,5
1303,2
7027,16
3274,4
8504,3
1912,18
5308,9
2443,14
6913,15
7082,5
2062,5
7575,3
2026,5
1120,11
8379,1
5995,6
2922,9
8395,16
7770,1
4412,15
4327,3
4912,9
1299,1
5826,8
4906,8
3285,8
3518,13
5059,6
1441,14
483,20
2771,11
3584,17
38,17
1293,13
6605,8
4362,18
1900,13
7519,8
1208,16
6044,4
716,19
7732,10
4215,4
7013,11
6733,10
6133,18
2384,20
4063,6
4864,16
7660,17
6629,7
3477,3
5900,16
8147,20
800,8
1326,15
4416,15
4907,14
2323,16
4252,10
6352,12
1382,10
8807,4
582,8
5612,8
5945,2
6470,17
3321,17
5448,13
4250,1
6124,9
7316,15
463,10
2813,1
7177,3
1679,17
5387,10
7333,12
8370,20
6238,2
8151,9
432,14
1214,16
2891,18
7717,2
8407,8
2683,16
7447,9
6079,15
7402,7
6565,16
5276,4
3812,12
7595,5
6523,11
4782,3
3987,6
3587,5
8631,8
6477,8
2636,3
144,9
3965,12
5340,6
7054,14
6296,17
5259,2
6720,13
2591,8
2682,1
7015,4
2545,7
2332,12
600,1
6347,4
6469,18
5316,13
7045,3
5280,19
4178,1
2202,9
7688,16
423,15
4247,12
6428,14
5766,17
3106,13
1791,8
2753,19
1139,14
8429,8
3457,3
4249,12
3429,19
3488,1
4012,12
1072,17
7615,8
8759,19
4400,4
4286,2
6832,3
332,3
1729,10
7017,10
5739,17
7048,2
6927,20
4065,7
6746,2
2203,18
8430,20
4768,4
7988,19
1427,10
7670,18
4865,20
2508,11
7206,19
875,19
5860,1
2117,16
5844,12
5260,6
6338,4
1592,3
5092,13
5970,14
6740,12
7608,16
8788,14
2258,2
227,1
5879,1
5301,20
2319,18
3341,20
2959,17
726,20
8508,8
7319,17
1421,14
3165,14
229,5
8242,2
7898,7
4383,16
4449,16
5587,12
1354,16
4482,9
5818,4
761,14
1713,2
2256,1
6291,6
4054,1
936,10
5523,9
5146,6
680,20
6705,3
493,1
8178,10
2870,13
5358,7
8596,17
4456,9
5720,2
489,6
6595,2
254,10
2823,10
7676,5
6915,4
2106,17
3367,19
4334,1
8288,19
10,7
3930,16
6419,20
2500,16
4902,2
7253,15
4346,1
8005,9
6893,1
1830,5
8536,8
2759,16
4193,20
5881,6
4690,6
4279,8
1996,10
6154,14
1032,10
8478,18
523,12
1572,11
3902,11
2933,12
7947,9
628,6
8172,2
4498,15
7593,19
316,7
2197,2
1313,17
4431,5
4153,9
6965,17
6658,17
3671,6
87,20
6586,19
5749,12
3347,3
6395,12
8650,17
1901,14
1999,5
7715,12
2050,17
8518,3
3461,14
5910,12
3496,4
4055,8
1276,4
3155,12
3625,9
4710,4
7915,2
7970,17
5367,4
1429,17
8008,10
7152,16
5808,17
2788,18
829,8
6995,18
8402,12
4236,16
1841,20
3566,14
4213,4
5635,20
1176,15
4941,19
208,12
2108,9
8318,1
2932,14
8567,15
314,14
8534,4
8595,5
7175,10
2886,10
4242,8
7453,5
6289,17
5244,5
8645,9
8589,14
8337,13
3972,9
4395,10
8439,4
2604,17
884,11
5084,14
7557,10
7951,17
6895,7
5561,13
1020,9
6037,2
2709,13
757,16
8603,7
5041,7
4880,3
411,4
3065,8
214,5
5385,5
7049,3
6653,19
2002,6
8155,19
7749,9
3770,2
5450,3
768,20
3752,9
4502,17
7018,15
5769,19
4594,12
4118,20
5789,18
6099,4
613,1
6511,17
6850,14
2389,14
2942,8
7229,20
5024,12
2867,2
2826,6
1077,19
1624,19
2874,12
7457,6
801,5
8120,15
7132,19
533,1
2750,18
7092,19
532,8
901,12
6217,2
7875,16
518,15
33,6
450,20
1094,15
2058,11
363,15
5680,12
3126,16
6925,9
7545,12
5865,14
863,12
1739,2
3952,5
5350,1
3042,19
5630,4
4954,12
6973,5
6199,17
119,15
1038,3
8743,14
7823,4
1409,20
440,12
4116,5
4018,8
2283,20
2155,10
7693,15
5277,1
1587,19
566,20
6607,13
278,4
1008,12
5715,2
1801,15
6233,3
3010,13
2634,4
7312,20
8267,4
7403,8
8122,17
3217,17
1753,20
1286,6
4685,11
746,2
7907,13
77,6
7111,1
4225,7
7183,4
4882,1
6905,3
6017,7
2055,16
7771,4
1710,1
6767,9
6145,6
5201,6
3880,8
3278,8
2480,7
576,14
7995,4
6602,13
2975,8
2349,20
476,18
222,14
4734,13
1273,19
1325,8
5775,14
416,16
3219,13
7598,3
4623,16
3605,12
1192,8
4662,18
6394,1
4061,4
1752,15
567,19
866,19
6941,16
4677,16
8032,7
5490,7
1781,5
383,18
2141,16
3111,7
6367,6
4352,16
1478,2
8044,6
8543,19
1157,19
5043,19
4791,8
7481,2
7415,7
1946,12
3214,9
767,13
2551,12
2794,17
1,8
7347,10
6584,6
734,11
213,4
3717,18
4385,3
2963,16
1264,18
8474,11
2357,13
4665,7
779,9
7292,3
4483,8
6797,2
4060,16
7750,7
124,8
725,14
2091,3
501,1
6413,15
2196,1
971,3
8516,4
5621,18
7528,6
1005,7
3336,6
5779,9
3991,10
3474,4
2204,6
6868,2
425,8
2980,8
3419,20
3401,16
6526,15
3650,10
5644,9
350,16
7197,9
5021,14
4016,12
3313,6
6126,13
6661,6
8150,11
8565,5
7439,6
1956,17
8787,12
2119,7
1849,11
3551,7
7325,10
870,17
8354,7
887,13
3914,9
5219,3
8328,11
6028,8
1459,11
570,9
6803,20
2954,10
302,4
1552,2
7178,15
2483,12
5845,1
977,8
2298,7
4522,17
3324,14
2365,18
2600,16
7146,5
3572,14
913,14
1078,11
6258,1
5180,3
4609,7
253,7
2660,19
4881,4
7829,1
4333,18
4227,5
1180,5
4424,8
5309,14
5571,13
7462,7
4351,10
6003,13
7377,4
1865,5
2334,7
4743,20
2579,13
4432,14
8689,17
2348,11
276,8
2721,4
7579,14
6392,10
5793,12
6310,4
4411,18
7042,19
4597,4
1892,1
3823,6
2000,14
3904,14
2038,13
6026,10
6654,6
4961,13
2069,6
8530,19
5300,11
5545,1
1344,15
4056,1
3413,12
5724,14
2219,18
8438,12
669,10
885,18
3892,10
5281,7
1576,17
6276,5
3292,14
236,6
5951,1
4755,7
503,3
6277,17
3369,9
4572,10
5162,15
8602,14
1659,7
4799,18
122,2
2882,1
8114,8
1355,7
935,4
4546,8
5263,18
3003,20
24,17
4997,1
1364,11
6330,10
4469,1
3806,9
2917,19
7020,1
5149,10
2990,14
4543,12
999,2
6949,2
5927,19
6021,12
422,5
6521,19
2852,9
5872,4
6015,5
3594,2
472,18
8573,11
379,1
7821,20
4917,17
7984,6
1745,4
8001,6
6445,11
2110,15
1747,3
5721,10
5419,17
591,15
946,5
2482,16
2822,17
5942,5
3712,15
2295,8
7209,4
7807,4
2918,5
2888,2
4104,15
8392,20
2490,18
5744,19
3529,16
6305,4
8727,19
1108,1
5498,17
2083,15
3759,13
1338,5
5911,1
7656,5
3277,8
2102,19
5743,3
8304,8
8496,4
1000,16
6842,11
3185,13
4168,14
953,20
6875,17
4886,18
1399,8
8273,9
7102,7
4950,15
8714,10
7677,17
1890,16
1111,10
7541,15
6497,6
1189,5
1512,14
6557,4
3740,9
8470,2
1842,7
6618,12
3828,3
6846,15
4644,1
8230,12
5541,14
6544,4
3372,12
6449,11
3205,5
2212,5
8045,8
2988,12
6034,11
6181,20
6880,1
6416,4
5332,8
6457,6
7073,14
5695,15
2340,10
4805,6
2875,16
478,7
1748,13
6131,2
594,1
3869,1
8515,19
5786,16
6960,12
548,5
5798,14
3733,6
3580,15
376,9
8348,4
3375,18
5577,14
3532,5
3857,10
1357,15
4148,10
708,1
4486,16
7072,13
5691,10
6537,20
1986,15
1969,3
694,18
7379,7
7416,20
3307,18
1697,8
3830,16
822,20
8057,20
3407,2
100,3
1678,2
4686,16
2711,12
7687,11
2030,12
7451,2
4908,14
1140,11
718,2
5408,5
7695,16
1641,7
8059,10
852,20
6435,1
4698,1
347,2
1886,12
3960,3
6560,18
5737,9
3124,6
4360,13
6568,11
5437,11
6822,19
2781,7
4797,15
8319,11
4736,11
6708,8
3497,16
4009,20
5861,20
5372,18
2890,18
6190,2
4266,13
6424,19
5689,9
3353,15
1501,4
7422,5
1298,5
56,5
1707,11
1147,20
7160,3
2161,15
2016,16
7633,12
6467,18
2834,11
7369,6
5120,4
3723,10
7641,19
6372,2
2701,1
1546,19
2786,16
3159,20
7533,19
1373,6
4313,19
7324,8
3821,3
4287,18
4897,6
5953,17
5576,13
4749,12
3819,11
139,7
1295,10
6246,5
7436,4
3295,14
7207,11
2461,9
1064,8
1596,5
1439,10
5607,1
5454,16
3747,10
5598,15
1425,9
8320,8
5563,2
136,1
1757,11
4756,12
733,20
7300,1
4076,18
290,16
3253,1
6952,15
6304,19
2560,17
7025,4
3873,4
459,13
6814,12
4240,16
3254,8
5936,5
360,17
5699,18
4575,11
3077,5
6442,4
6736,3
8393,5
4654,4
3573,2
7529,19
2268,6
2152,10
536,14
6041,2
2688,1
2680,20
5732,7
1194,6
3312,7
2024,2
2801,17
5341,4
1166,1
2745,10
2335,4
2844,11
4083,4
6471,17
3616,19
6441,3
3222,10
4601,12
6593,16
5858,14
2756,14
771,14
5391,6
4406,5
1950,2
5200,17
8162,11
1695,8
519,19
3777,5
7562,19
7655,8
4833,2
8317,16
8050,17
199,6
6484,19
2703,14
109,17
496,3
1211,17
3080,7
6810,14
4953,11
2523,2
8333,5
4087,2
263,2
1741,13
6940,2
8260,20
2254,5
2306,4
7820,12
7148,7
5956,1
6437,4
830,5
2484,4
8433,3
7735,13
695,15
4856,20
3242,11
1296,5
731,6
5086,6
2015,10
8623,7
2468,4
474,20
8717,18
1066,3
7480,17
2995,19
6349,8
2757,9
7646,20
8013,5
1851,7
4700,11
8453,9
268,16
5591,12
5125,14
6792,1
3463,4
1696,13
3825,4
8369,12
2969,12
7136,4
7053,12
1859,16
3455,8
7123,8
1132,19
592,13
6955,2
116,10
4135,13
1010,11
1156,16
2133,5
6243,6
6603,8
1660,9
8033,19
6508,9
4819,3
5759,2
315,7
4,14
6712,14
6837,16
5864,12
9,3
8412,13
6765,20
6573,10
454,12
2511,5
3670,18
7259,18
6968,13
5339,10
5575,4
393,13
3090,3
4568,14
1288,8
279,4
4989,11
4049,9
3340,17
3996,19
2878,18
6253,10
4860,15
6224,6
3916,8
4185,8
798,8
1201,18
8668,1
2465,19
3009,12
490,14
3492,6
7510,12
2305,5
3787,2
7936,19
605,7
4019,19
7274,12
5470,9
3854,19
1164,2
8107,4
2782,8
8137,12
6540,10
6519,15
8165,10
323,11
710,19
2029,7
504,8
2892,8
7432,12
5347,11
1948,10
8447,3
6454,14
4182,11
5718,8
721,13
5389,17
6257,15
91,16
1457,19
73,8
6434,16
836,10
2064,8
3374,15
187,15
7901,3
7792,11
1050,16
5485,15
8331,16
3993,10
4130,7
8488,15
4136,6
5202,7
8432,18
6884,13
1483,1
3360,5
5505,11
6673,8
6656,2
3798,16
811,2
5274,8
1312,3
4628,2
5852,9
690,3
8224,17
1683,14
980,15
4891,1
6784,11
3515,16
1556,13
4688,3
7777,20
7228,1
2829,11
3517,8
1297,10
8683,2
5799,18
1401,18
627,17
7681,11
7239,2
3309,11
1152,17
7244,7
4094,10
8203,8
1365,11
8234,12
7786,7
3409,3
6634,14
6637,1
154,13
1957,8
5495,17
2356,20
6713,2
1954,11
1502,9
6506,8
7190,18
5431,13
1817,20
5763,10
7636,4
6035,3
3890,1
7795,13
1723,15
1704,4
7193,2
5530,7
1158,10
2075,17
7118,8
8786,1
6891,8
3961,1
1905,20
3687,7
7658,3
7511,4
1498,15
7560,7
8583,15
7171,5
8322,2
3796,20
3571,6
1567,14
7817,9
4689,3
7223,13
1195,7
2301,19
5926,15
5196,6
7131,10
6239,10
3552,5
598,19
5672,7
2128,20
4207,12
8749,19
5342,17
6531,19
4179,5
345,8
5906,15
618,20
8163,3
3168,15
8397,16
3540,12
6743,11
8110,7
2424,3
6698,16
5585,18
904,13
5052,12
320,2
6520,17
7078,4
1952,12
8514,1
1096,6
2970,3
1690,18
6741,4
2881,1
6255,15
7931,3
1855,18
191,1
4460,4
281,3
321,6
5524,2
4299,5
2666,16
3695,13
4987,11
2585,10
7920,11
1080,7
8106,7
5533,16
6752,5
7614,14
1130,3
8507,2
7880,11
896,12
1460,5
7601,13
8789,4
3026,5
6100,4
7423,10
1508,20
196,5
7322,17
7855,18
4711,20
7084,15
7203,7
8720,1
8792,12
2107,3
7156,20
6677,4
1063,11
4715,17
2749,18
1419,8
6766,13
7832,6
3117,18
2292,14
1979,18
7339,5
492,10
3147,17
5486,9
831,8
6168,12
8699,17
7036,8
1028,18
3327,15
4492,2
6227,8
251,16
6696,2
7476,8
1463,17
1698,7
3706,8
7919,20
5710,15
7846,13
7640,15
5068,16
481,6
3738,17
2961,1
6684,14
1342,18
4530,19
1135,14
2251,5
3193,1
3726,4
5053,9
2724,11
3975,15
1583,7
5492,1
261,7
1906,15
471,20
3522,10
2166,12
3863,6
400,20
7270,15
6165,4
3851,12
5593,5
3449,9
6509,14
4057,8
1597,20
8676,20
2182,16
5487,17
8783,16
4040,20
7902,3
5343,13
7692,4
3213,16
2417,6
4576,8
5819,3
8362,6
4217,6
1257,20
6488,6
2009,6
5232,6
6149,13
1047,16
8473,19
6444,11
6060,16
1976,14
7365,11
451,18
8300,11
6179,17
3931,18
7407,9
8390,1
3853,12
4489,14
5552,7
1506,7
6089,6
5067,4
630,20
2211,15
5663,16
4384,11
4503,7
915,14
6856,8
3310,1
8764,12
2730,1
2527,11
8058,18
4050,11
1893,4
3683,15
6625,13
20,2
3959,20
1343,20
2662,9
2897,18
1693,8
3663,15
3416,12
4114,2
4004,12
1104,9
5442,11
4867,5
4630,4
6429,18
6120,20
6701,1
8220,6
5967,6
3779,5
3743,17
1807,19
5885,10
5151,8
8378,18
1233,16
2783,13
2658,5
4345,6
2831,16
2164,15
8096,6
2263,17
8025,1
2598,7
4915,8
8011,14
6926,9
8491,8
1294,15
6134,18
4326,1
203,14
8535,18
4171,10
368,14
3974,19
5811,8
8215,9
3632,1
2412,12
2411,12
825,2
758,9
5170,3
1187,8
7125,7
6127,4
590,11
6450,2
1115,5
5671,12
8168,4
7964,19
899,12
6816,15
3653,15
2449,11
3484,15
2066,15
5805,7
6820,17
760,17
3432,2
784,8
6695,7
8424,4
4666,18
433,3
1573,6
4108,20
5706,1
1754,5
4098,3
3332,19
417,2
1904,17
5399,16
7967,7
1116,12
5555,12
4996,3
3047,1
5326,6
7727,1
5656,17
6036,20
1684,15
5003,7
1518,2
7077,20
6411,2
6563,8
4975,2
8794,12
484,18
1980,12
4582,14
1930,13
4146,10
2240,3
3470,13
1274,7
2519,8
4704,5
5099,16
4621,12
5081,20
8381,16
5690,3
4556,9
5747,6
6862,19
6770,18
2127,13
2248,11
7310,19
4800,7
3701,2
5641,17
749,17
382,13
5272,11
5006,14
8700,2
6019,10
5439,4
4143,19
255,12
2627,5
2887,9
7748,7
525,16
5745,19
2927,18
2368,12
3462,3
8724,8
7700,16
5178,2
5076,14
6312,9
4885,10
8360,11
6085,11
5467,15
389,13
7524,8
2530,4
5365,6
1743,3
1531,13
1215,5
6278,17
8790,16
5036,15
6591,1
8498,10
2486,6
6113,2
3169,11
1993,15
7348,14
7909,14
1638,12
409,10
5938,12
4910,2
7414,11
1482,20
5381,15
7948,8
97,20
406,11
2342,18
4359,20
2805,4
540,15
6359,17
1131,19
5464,8
8510,5
7215,19
7085,18
865,5
1520,10
4738,13
8078,18
2378,4
7900,3
1750,9
8773,5
3896,18
2957,18
1559,16
4198,5
1988,7
3958,15
8622,14
764,11
8218,19
6112,4
5128,2
5032,12
6670,11
655,20
3014,2
6663,1
6254,13
7775,3
2280,2
4816,9
2253,19
6882,7
4631,6
6920,19
4512,8
7145,5
3574,18
8083,15
388,13
6144,11
6828,20
7530,11
4463,18
4402,7
5851,5
8098,10
5497,7
3805,19
158,8
1561,14
1888,3
1374,11
5013,18
6972,4
8775,9
5338,9
7424,19
7747,9
8080,5
638,2
6555,14
6522,9
8171,15
2494,13
8782,8
3913,16
1625,16
491,3
6365,10
6796,10
5915,18
4173,6
923,10
3491,6
6694,2
8332,13
5631,2
5366,6
6811,1
943,17
5295,2
3788,2
3980,8
7843,8
8663,3
4551,13
5289,8
2257,1
7627,8
5109,8
5312,5
1945,10
4962,17
678,15
5242,12
4845,6
538,17
7945,15
6369,3
6585,20
1911,2
5008,18
3265,16
3556,1
2112,11
3786,8
5921,12
1165,17
6114,1
4046,9
2910,1
1612,19
1019,3
326,6
4703,3
4082,8
4618,7
8761,9
4079,19
1866,19
1243,19
8499,1
8197,9
4484,12
2201,10
1141,12
6313,18
5822,20
6693,16
6466,5
6619,2
5333,1
6751,13
1650,17
2469,1
8584,9
1191,19
7787,13
4695,14
8638,19
6294,13
140,5
5113,18
1089,9
157,11
890,4
2506,11
7613,6
1620,19
7981,20
5785,5
8608,18
7711,7
5210,10
837,19
7831,6
2541,16
4267,5
1196,11
2712,6
260,3
3270,15
8722,1
5677,13
8544,3
4916,5
2691,18
8335,9
7375,4
2671,4
3608,6
3255,16
161,16
8465,7
6280,6
7570,20
8745,12
4047,16
5757,6
8160,19
1500,5
1963,16
5150,11
3809,6
6800,6
5390,19
5669,16
6838,12
7251,7
6908,8
3994,11
3179,15
3379,20
309,16
2800,6
6982,2
5901,1
1534,16
3364,12
1002,10
1836,20
1424,15
4302,5
2209,3
3938,14
5640,9
4518,11
7064,4
5984,1
2564,13
1330,8
2802,11
1241,19
4355,18
7534,15
1526,4
6136,3
2796,10
4112,12
2235,11
7035,17
5933,3
8733,10
1045,1
3901,5
381,13
1400,10
3762,3
5667,5
8784,12
4320,20
3163,4
4871,4
6535,16
4387,4
4741,8
4451,2
5553,8
3423,19
2111,7
4307,4
3458,17
3737,14
5758,8
4218,5
4157,10
1691,6
6197,19
4363,4
4559,20
2467,8
3606,5
5265,9
7404,20
8728,9
8755,11
6676,4
1716,5
7559,16
8358,17
6271,5
6967,16
3521,16
6456,15
3082,18
5422,11
786,15
8610,3
371,13
2702,6
3384,1
5278,13
8116,11
7142,16
318,8
918,4
5717,3
4691,6
6491,17
8009,9
1464,9
3396,16
4037,5
1256,6
996,12
5044,15
6727,11
8561,11
99,20
6379,15
3664,11
2241,6
441,1
2860,16
6018,14
5725,16
1676,9
2538,15
198,7
123,19
63,4
6270,3
3748,8
6620,2
6140,8
8382,12
4818,2
8401,9
7883,17
2448,18
6118,20
502,5
5394,8
8257,13
6534,17
404,2
2589,10
5473,2
6391,12
4846,2
4752,11
4020,19
4107,18
4974,12
4440,16
2981,16
7830,17
6789,4
6980,12
8,2
333,7
2937,1
308,8
6443,16
4520,3
1765,3
5197,1
5324,8
7242,4
7026,1
773,2
3144,20
4753,3
6163,2
5875,8
4770,14
327,20
1594,19
249,20
341,7
1302,9
7302,2
841,11
329,11
4542,12
6240,12
6549,12
8578,3
5842,15
241,18
1177,4
3995,15
8547,18
1222,7
4497,1
7731,19
986,17
5060,7
4296,9
4290,8
2883,6
2158,20
6220,8
6723,10
6362,2
354,5
2070,19
5291,16
6528,12
6609,16
4275,3
3947,15
7772,19
39,4
1127,8
5191,11
1411,19
3428,18
4592,15
8292,1
4787,3
7161,8
3728,9
2284,14
7382,3
7979,6
3847,12
842,17
7334,8
2413,13
18,6
3024,3
8133,5
6581,2
5311,8
6997,17
134,20
399,7
1151,10
1982,17
2752,2
5203,13
1033,9
5123,1
6760,10
2593,2
4681,13
7544,10
7315,19
5588,5
857,7
6094,13
3735,2
4317,17
7311,5
1854,8
7905,18
3316,18
7911,6
280,4
3926,14
5009,13
1902,5
5528,11
4444,12
8206,14
5751,1
5846,16
7307,2
6674,9
2573,6
2925,13
51,20
3912,1
510,19
8041,14
3296,3
4350,8
8303,6
4201,6
6624,20
8758,11
5538,16
7358,10
4785,4
7233,15
5335,18
5675,9
1699,6
834,6
5230,13
5426,19
4309,2
3052,19
812,7
5491,15
