RPID,MID,ReleaseDate
202,1307,2002-07-10
124,8369,2020-02-14
201,3151,1965-05-11
202,8749,2000-03-24
202,4488,2005-07-29
49,5165,2022-09-02
71,3835,2019-03-13
83,3291,2018-05-09
37,3619,2025-10-30
202,7619,2011-05-13
182,750,2020-11-04
202,4311,2016-10-04
61,6314,2017-01-11
3,5444,2017-12-09
159,4839,2019-05-15
128,1014,2018-08-11
201,8300,1950-08-24
202,539,2000-11-17
202,5424,2006-12-16
202,3676,2004-10-11
202,8109,2005-03-19
34,1164,2021-03-11
201,2639,1953-07-11
160,2029,2022-09-02
201,2753,1989-07-23
114,153,2017-06-07
46,2849,2018-01-14
202,1734,2007-04-05
202,2335,2002-11-23
201,6094,1964-11-10
96,5986,2025-01-30
202,5944,1998-08-16
202,7244,2016-10-27
201,4568,1988-05-27
27,1127,2024-12-25
185,402,2022-06-02
16,833,2024-08-01
100,7648,2017-10-24
132,2643,2017-12-24
38,7727,2020-04-10
113,4565,2017-02-09
202,1370,1996-10-18
8,5059,2020-06-28
80,3954,2023-12-02
157,3686,2018-09-06
156,4799,2021-06-13
201,1550,1985-08-19
180,5375,2017-01-06
201,2657,1952-08-19
192,4896,2024-07-03
197,5868,2019-03-25
39,1179,2024-12-06
202,3563,2016-08-22
202,3496,2000-05-15
201,7543,1979-03-17
6,344,2021-04-12
144,1373,2023-10-14
202,2024,2009-12-20
202,4574,2013-06-19
202,5384,2008-02-02
202,6043,1999-08-18
201,3810,1967-05-12
202,7361,1998-10-11
202,4120,1998-11-22
180,7487,2020-11-02
42,4110,2021-03-29
42,358,2018-01-14
182,2596,2018-09-14
125,2813,2023-09-07
9,6010,2024-06-29
92,5799,2017-12-07
131,8598,2024-11-14
202,4569,2001-08-02
202,2513,2003-04-28
148,6477,2022-02-10
202,7874,2005-08-27
201,2801,1975-04-12
172,2642,2023-03-05
201,1740,1954-11-09
193,4534,2018-01-23
15,4260,2017-07-19
35,6005,2021-02-19
122,309,2024-03-29
186,6788,2019-05-24
104,6486,2025-01-12
202,4239,2006-04-08
202,6499,2007-02-22
202,2284,2008-05-24
187,7628,2025-04-24
97,1927,2022-06-21
141,6919,2018-08-27
202,967,1997-03-15
185,6697,2022-06-30
59,5523,2023-07-21
202,591,2012-03-27
147,8431,2021-12-27
79,8546,2025-12-04
106,3650,2021-11-20
6,1572,2025-06-27
179,3723,2025-06-30
202,7648,2014-05-23
202,3196,1996-03-17
14,3489,2025-10-20
141,4665,2024-04-02
45,3561,2025-12-20
202,6621,2014-10-01
202,1782,1997-03-13
202,4757,2003-12-04
34,7606,2018-02-18
94,8525,2020-05-26
202,606,2015-03-01
107,190,2020-07-05
109,1651,2022-02-16
123,6749,2024-07-15
11,5361,2025-12-23
91,3343,2021-12-05
202,532,2004-01-17
19,7294,2019-08-05
201,4816,1979-09-01
107,2096,2020-11-04
202,954,1998-05-17
201,1492,1977-01-26
202,6094,2003-01-01
201,4597,1975-01-22
155,3515,2021-09-25
201,1848,1974-03-01
202,4998,2009-05-04
173,8687,2017-11-28
202,8075,2003-04-09
7,8148,2019-05-01
103,922,2024-03-09
82,724,2020-05-15
202,8089,2012-12-20
8,4683,2018-02-19
175,6699,2017-10-29
85,7479,2022-01-18
8,1155,2019-05-23
123,3956,2023-03-30
165,4118,2018-11-30
124,5864,2023-04-09
63,8573,2021-06-09
85,4566,2017-04-08
100,8572,2020-03-08
148,5513,2024-03-05
202,4490,1996-12-05
202,2818,2002-01-08
42,5606,2020-07-18
201,205,1958-11-10
193,541,2018-04-10
144,7256,2022-08-11
201,1542,1985-06-23
119,8769,2023-05-02
201,7580,1964-05-07
202,5595,2000-05-13
201,4922,1988-08-07
155,4330,2022-10-29
18,6533,2020-09-23
34,5501,2017-11-18
202,661,2003-10-12
145,5729,2025-12-17
164,115,2023-08-03
44,3807,2022-05-02
202,413,1997-03-04
201,922,1985-12-20
102,5495,2022-08-06
202,5650,2013-05-23
79,820,2024-05-22
89,8530,2024-12-06
145,3496,2019-11-27
202,8132,2001-11-27
19,6215,2019-05-01
202,8625,2011-08-10
39,6890,2017-12-21
189,7862,2021-06-08
103,8527,2023-07-24
67,7274,2023-01-25
1,7134,2019-09-07
56,3856,2017-05-08
202,3057,2016-06-13
138,2489,2024-06-14
22,5149,2020-12-08
121,8407,2020-09-02
34,826,2019-11-28
201,8653,1964-12-17
57,7976,2020-01-31
74,7022,2019-03-30
117,5933,2024-04-11
160,6918,2025-09-12
118,6455,2018-05-21
202,7757,1998-08-02
156,1006,2019-08-25
187,5857,2018-10-15
21,4557,2025-08-20
54,6070,2023-05-16
134,3822,2019-10-22
202,4005,2006-07-20
15,3437,2021-01-16
29,3445,2017-05-09
104,721,2024-08-05
177,2235,2025-02-21
201,834,1971-11-27
201,3801,1976-03-03
202,6182,2004-08-21
159,6033,2020-02-13
202,8394,2003-09-23
77,559,2024-06-02
81,3007,2023-08-05
39,2837,2020-10-15
104,7633,2017-02-23
134,391,2025-12-28
6,2527,2022-07-06
202,6635,1995-09-26
119,2553,2019-09-01
202,1489,1997-04-01
202,1635,2001-09-08
201,1290,1986-01-19
202,2960,2013-08-20
99,7326,2017-12-02
37,7479,2024-06-07
202,4395,1999-01-13
172,1605,2022-04-14
202,5998,1995-12-14
103,5412,2022-10-03
202,6209,2014-09-02
202,7855,2008-02-06
201,825,1950-06-15
67,5344,2022-05-13
201,886,1962-09-13
202,1399,2005-01-17
195,5738,2022-12-18
3,249,2025-01-24
44,7646,2017-10-23
202,6501,2012-12-16
26,6722,2025-11-03
95,8397,2018-09-18
194,922,2021-12-02
202,5130,2016-07-30
202,8483,2002-05-22
58,4099,2018-01-28
24,6924,2020-04-29
3,3622,2020-05-23
53,7394,2022-11-20
67,4303,2019-02-20
202,1156,1999-11-10
145,3401,2022-08-31
173,4587,2020-03-07
202,1677,2016-09-04
38,4318,2021-01-21
53,1275,2019-08-16
151,4496,2017-05-29
61,3238,2021-07-25
202,3785,1998-07-26
135,6850,2017-06-20
7,6823,2018-02-14
201,3157,1983-09-06
175,1334,2021-04-28
202,3154,2005-04-20
171,1728,2017-02-03
160,249,2024-11-13
179,6601,2022-09-20
184,6392,2019-04-29
55,3183,2023-10-07
202,996,2006-05-25
202,791,2009-08-15
67,6644,2017-07-16
202,5927,2010-05-21
202,7352,2005-05-22
193,8632,2020-06-22
202,5109,2014-04-26
90,5719,2022-07-04
202,4441,2001-07-12
190,3277,2017-05-10
18,6037,2023-02-05
202,7992,2012-08-23
202,4269,2006-05-19
48,4986,2023-10-05
55,1345,2022-07-14
202,804,2002-10-15
106,7647,2020-10-27
201,7264,2021-02-11
80,4630,2024-10-27
202,8182,1995-02-04
163,8170,2019-02-01
85,4079,2020-10-16
202,2551,2010-03-17
165,2414,2022-08-12
26,7867,2021-08-10
189,6535,2020-05-17
202,8538,2016-05-04
202,8806,1995-01-31
114,1450,2018-02-14
141,4136,2020-09-03
202,50,2001-12-10
82,8549,2022-11-04
55,1239,2025-04-16
5,2857,2023-02-17
202,6735,1998-06-25
121,6426,2022-11-23
120,990,2022-12-08
39,8196,2020-09-16
48,391,2017-10-25
135,8471,2018-07-27
141,6514,2021-10-02
146,5124,2018-12-20
129,4710,2019-05-01
202,3096,1995-08-29
202,4291,2003-10-15
104,1380,2020-12-23
99,1283,2023-01-05
112,5141,2019-03-09
107,3038,2021-08-06
91,943,2019-07-23
150,7815,2025-12-01
202,5897,2012-01-07
6,2064,2021-04-27
131,6444,2018-01-27
165,8535,2022-03-13
35,5974,2023-03-24
202,2914,2003-08-23
48,5376,2017-03-19
202,2568,2009-08-21
116,2253,2022-12-07
202,6559,2003-11-27
148,8236,2017-10-16
56,5730,2019-10-21
201,4790,1960-02-29
202,3611,2010-01-26
202,125,2013-07-06
32,8284,2017-10-22
202,3570,2007-03-28
201,8524,1972-04-25
5,2168,2018-03-20
129,2078,2019-07-12
58,933,2017-11-17
202,7974,1998-09-18
202,3516,1995-10-08
19,6715,2018-05-01
202,4695,2001-04-17
167,5113,2024-10-05
31,5798,2025-01-15
75,4741,2019-10-15
30,7241,2020-08-27
173,6158,2018-07-31
202,5870,2004-03-24
202,2142,2008-08-23
49,8256,2019-10-18
202,8001,2002-08-10
24,6416,2020-11-02
201,4630,2021-06-13
66,7248,2024-08-12
202,5605,2006-06-01
35,1132,2025-07-27
202,4511,2014-02-28
44,5535,2017-01-12
35,3231,2020-11-27
35,2479,2024-04-22
185,5564,2021-07-13
195,3975,2025-03-11
202,5470,2003-12-17
202,5148,2008-05-10
202,3140,2009-12-04
165,8107,2025-11-22
202,3010,2016-11-02
7,5522,2021-03-28
202,2165,1997-07-03
113,6126,2025-07-09
189,293,2018-01-11
202,5645,2000-04-01
49,3365,2023-03-02
181,3621,2023-08-24
140,852,2024-10-11
145,6163,2017-04-01
84,3889,2019-11-24
136,365,2022-05-26
179,1519,2018-01-27
52,6318,2019-12-16
202,978,2000-09-12
189,4013,2020-10-25
202,3550,2008-10-24
9,542,2019-05-07
51,554,2021-11-14
202,7769,1995-05-28
202,1380,2010-01-14
5,414,2020-05-06
79,8140,2025-04-02
104,6460,2020-12-26
172,7608,2024-10-04
202,4419,2012-12-29
21,576,2018-03-18
70,3293,2025-06-07
199,1730,2024-04-03
61,204,2025-12-18
202,7996,2008-01-30
139,3790,2025-09-17
201,1472,1963-05-21
33,6247,2024-08-13
202,4911,2004-06-16
202,3246,2001-01-23
89,2334,2019-03-24
108,1359,2024-09-21
95,5269,2019-09-08
179,2739,2019-09-25
201,6321,1979-11-16
23,800,2023-11-17
122,4120,2018-07-03
109,3214,2025-03-21
119,622,2024-09-28
181,6454,2022-06-18
202,6488,2002-04-03
202,3109,1997-09-13
63,4354,2020-05-04
85,5735,2021-01-06
202,2565,1995-10-20
186,2006,2021-11-04
202,2575,2012-02-19
6,7290,2021-08-20
4,3891,2017-08-18
17,1518,2022-07-18
202,8331,2016-02-21
1,6764,2019-04-16
89,4425,2017-04-01
202,2280,2010-12-28
103,2008,2018-06-14
83,3287,2025-11-07
202,7083,1995-04-30
202,2804,2011-07-12
61,1698,2024-05-31
202,3941,1995-08-26
143,1944,2017-10-16
131,1356,2017-10-06
201,2737,1988-05-30
83,4519,2018-11-23
202,8521,1999-07-28
97,3581,2023-08-08
9,6966,2019-04-24
202,5603,2012-05-08
56,6773,2021-11-01
26,1006,2022-11-14
166,6709,2017-06-04
158,4306,2019-04-18
101,5572,2020-03-31
202,6655,2004-12-28
201,6709,1969-11-01
102,1201,2022-06-19
75,1116,2021-12-20
112,6985,2025-12-27
54,72,2019-05-10
68,6053,2019-10-28
98,1861,2023-02-18
202,5346,2010-05-12
157,2929,2017-08-11
75,196,2025-09-27
202,8086,2001-11-17
16,8161,2025-06-02
42,3295,2023-01-21
17,7888,2019-03-07
201,1245,1960-08-29
202,7368,2003-06-07
64,5894,2025-02-19
86,825,2017-02-01
123,3884,2019-09-22
202,5318,2004-02-16
2,6256,2020-02-08
202,7016,1998-11-07
202,8121,2005-10-04
70,252,2017-12-23
120,5880,2023-07-05
127,5502,2020-10-20
119,5907,2017-09-08
115,3010,2021-02-06
171,799,2019-03-09
131,527,2020-12-05
202,7124,2001-04-25
202,8283,2010-04-11
44,4165,2017-05-30
202,4110,2000-08-08
91,1950,2022-03-06
201,4003,1981-04-13
160,516,2018-09-18
202,6796,2001-10-25
202,3809,2016-02-16
40,7503,2017-02-02
41,8281,2020-06-10
202,311,2015-08-21
200,2358,2019-10-04
116,4602,2022-10-18
89,5047,2021-07-24
34,5617,2022-09-15
201,4818,1956-12-19
202,2581,2002-10-24
7,8714,2017-03-24
202,4297,1997-10-06
129,2449,2022-12-01
202,7391,2016-03-05
7,3517,2021-08-13
58,7768,2018-10-22
180,3953,2023-07-05
202,3523,1997-09-06
201,3897,1993-06-12
202,7107,2014-10-28
202,7541,1996-04-24
195,6864,2017-05-09
164,3145,2021-10-17
202,3153,2003-08-19
201,1095,1987-12-28
175,8414,2025-03-03
74,7896,2019-06-22
109,8637,2020-08-03
133,8614,2019-04-17
91,1964,2022-07-07
202,551,2012-08-08
119,2431,2017-12-27
21,7489,2017-07-02
202,1245,2008-12-26
153,2209,2018-08-20
202,8081,2007-02-05
160,4942,2024-05-08
98,1280,2017-05-12
202,3984,2013-09-30
156,2297,2017-09-21
195,7307,2019-09-30
18,6929,2021-11-27
77,604,2018-06-20
160,5052,2017-06-26
155,3386,2024-02-25
202,7635,1995-06-21
39,223,2024-07-08
117,2785,2019-06-12
185,3723,2023-07-14
145,5190,2025-11-20
174,7511,2025-07-13
180,5736,2024-01-15
94,4066,2024-02-13
202,6340,2010-06-15
114,5522,2025-10-06
25,7175,2022-03-02
28,5989,2019-08-20
107,4123,2022-04-18
202,2019,2015-06-13
165,1167,2020-10-17
202,23,2012-05-29
58,5879,2025-12-07
201,8615,1991-10-21
182,5652,2024-11-02
107,6933,2018-02-06
144,5313,2025-04-10
202,788,2005-07-16
68,376,2019-11-12
37,2378,2020-06-23
112,4199,2023-07-26
30,7152,2024-04-29
131,3940,2018-07-28
124,8167,2019-05-01
202,1366,2007-01-01
202,2524,2006-02-04
104,247,2017-06-20
202,6975,2009-05-21
202,5618,2013-04-25
202,1445,1998-10-07
13,4914,2022-09-19
20,1463,2019-01-29
202,1091,2012-07-23
107,1940,2020-07-24
57,7945,2019-12-17
8,354,2020-11-09
202,878,2007-08-16
202,2959,2008-10-09
129,8643,2020-01-08
97,2390,2023-05-08
201,1619,1989-04-07
85,6302,2024-03-30
120,3251,2017-11-18
174,8272,2018-03-16
142,2752,2021-01-23
35,3482,2023-07-20
118,5228,2019-08-27
184,5299,2021-05-21
202,6352,1995-12-19
118,793,2022-12-31
198,6722,2018-11-20
15,956,2024-12-21
151,8518,2019-07-16
202,5768,2004-04-18
119,3076,2018-10-05
45,3871,2025-10-01
13,7509,2017-10-09
202,2039,2012-11-24
53,3813,2018-08-14
202,2018,2011-07-19
37,3028,2025-12-01
87,7693,2024-07-11
202,6232,2009-06-10
202,5779,2001-10-01
124,6038,2017-03-05
30,2860,2022-09-04
133,108,2025-07-26
128,3758,2017-05-13
76,1472,2023-07-19
171,1789,2018-12-25
201,3131,1960-01-13
202,660,2010-12-08
202,1608,2011-03-10
202,1170,2005-01-01
69,5053,2021-04-03
25,2927,2022-09-28
125,1374,2023-03-26
192,402,2020-06-29
167,6938,2020-10-20
152,8599,2023-02-10
1,6710,2024-09-01
145,7602,2025-07-27
201,5479,1961-09-04
24,4440,2019-09-02
202,3395,1995-04-11
30,5626,2017-04-19
202,4629,2012-04-06
47,4538,2023-08-30
111,5866,2024-03-21
202,379,1997-10-20
162,7969,2020-09-26
202,4045,1995-01-30
202,5146,1996-09-17
202,8390,2015-06-11
86,8680,2019-04-19
202,6082,1996-06-21
103,2523,2017-09-30
152,1380,2024-08-20
202,6546,2012-01-15
54,7705,2017-05-30
202,7130,2004-03-11
33,4711,2022-07-17
34,3425,2021-05-20
125,41,2021-03-21
115,7519,2023-01-29
30,2949,2020-02-11
39,1846,2021-03-07
139,4848,2017-02-19
155,1464,2022-07-12
54,7404,2019-04-24
25,619,2017-02-05
8,1335,2021-08-12
202,1662,2009-03-19
202,6764,2003-02-06
162,4792,2022-05-19
201,1628,1968-03-10
177,6256,2022-12-16
122,4585,2022-09-05
24,8172,2025-08-07
180,258,2017-03-20
95,8665,2018-01-11
4,8323,2023-09-05
202,8354,2007-06-18
196,3545,2018-10-25
123,5378,2023-09-12
202,6784,2001-08-02
202,1087,2008-03-05
202,6573,2006-01-20
202,4925,2012-06-26
186,6535,2023-09-22
202,617,1998-12-10
199,2377,2022-07-15
100,6958,2020-09-20
201,1875,1968-09-28
112,8146,2024-05-29
21,5998,2017-03-10
11,3108,2021-04-20
202,30,2011-06-03
202,8763,2011-06-27
16,3015,2017-06-02
161,4655,2017-10-25
201,3946,1977-10-15
202,5810,2013-08-05
201,609,1980-10-27
110,4054,2022-01-20
87,3052,2020-05-22
197,8182,2017-03-18
202,3907,2001-02-16
201,5532,1991-07-18
91,3047,2023-04-03
124,495,2021-01-10
137,3239,2017-04-24
96,6069,2021-03-26
33,2093,2018-08-11
176,8279,2023-11-01
202,3087,2012-11-03
140,1888,2017-06-07
155,4013,2020-06-18
107,4203,2018-07-07
113,3106,2021-09-28
202,4663,2004-03-26
189,5398,2017-04-20
129,261,2019-07-21
4,2506,2022-11-19
201,4520,1965-06-28
80,824,2025-01-04
1,4471,2020-03-28
174,3771,2022-04-27
187,4618,2021-03-29
78,3368,2017-04-26
202,7539,2011-03-27
202,5914,2004-06-03
106,7173,2020-10-15
67,2803,2021-08-17
202,349,2004-03-09
150,1497,2023-07-26
202,1515,2005-08-15
58,8401,2024-10-29
201,1269,1951-08-19
46,3913,2020-11-16
191,3496,2021-02-23
88,27,2018-11-16
85,6541,2023-01-23
202,3137,2015-09-24
201,3089,1952-04-20
71,8419,2019-12-15
41,3879,2024-03-05
202,7598,2004-04-01
200,4145,2017-06-09
14,3248,2022-01-28
154,4198,2021-07-26
84,3211,2024-08-31
202,3877,1997-02-16
202,1197,2003-02-04
202,1908,2000-11-19
201,3899,1991-10-26
74,6013,2025-06-08
177,2195,2020-10-17
202,2900,2016-07-11
202,7605,2009-03-05
202,4471,2010-08-30
163,7476,2021-04-19
202,5406,2011-05-20
19,1634,2017-01-13
35,5349,2025-02-10
201,5969,1969-11-29
137,7828,2020-08-30
1,7347,2018-09-02
202,3996,1996-04-20
198,4379,2025-12-21
30,5149,2019-09-01
138,2915,2022-01-12
149,5053,2019-10-27
202,3391,2000-11-19
197,5579,2022-09-14
55,4853,2018-04-07
62,8660,2019-04-30
108,3230,2021-07-16
193,3330,2017-12-13
158,6308,2020-03-24
177,5918,2022-03-19
202,5156,2004-01-25
52,5739,2019-03-17
124,1743,2017-02-25
201,2926,1950-07-02
19,5320,2019-04-29
101,1887,2020-01-25
202,5565,2012-10-28
188,1543,2019-03-08
107,6741,2021-04-23
133,4524,2018-06-14
202,8104,2007-11-12
41,1317,2018-08-24
202,1181,2015-01-18
59,5649,2021-07-08
197,3738,2021-06-22
13,93,2017-05-17
131,7876,2022-10-02
191,5585,2017-08-19
202,3539,1995-08-02
155,6231,2024-02-12
12,1633,2023-12-20
125,6563,2025-02-12
6,5308,2023-02-23
123,347,2017-01-21
186,2990,2022-10-03
133,6229,2018-07-25
161,7674,2023-07-19
37,3663,2017-06-28
202,6703,2015-11-08
93,7162,2024-03-15
202,3468,2001-08-23
99,728,2018-08-01
1,2146,2022-01-06
201,3516,1968-04-09
200,5742,2020-10-03
83,1597,2023-07-08
196,272,2018-06-18
193,6574,2022-09-03
201,7794,1962-04-25
115,7951,2025-01-01
195,447,2023-04-26
202,2749,1999-01-23
202,3962,1998-11-07
3,6787,2024-12-26
36,8657,2019-12-03
4,1374,2017-12-30
108,1167,2019-06-01
202,1743,2016-09-27
151,7723,2018-06-09
65,700,2021-12-21
202,2669,2002-04-17
81,7582,2018-04-23
202,6876,2012-02-20
202,5600,2011-01-24
202,6279,2005-04-11
201,4317,1994-06-04
201,8741,1984-05-02
202,3942,1997-05-19
202,5550,2005-04-21
202,3239,2013-06-23
12,8286,2022-02-22
201,1408,1973-11-25
108,634,2017-06-16
201,7698,1956-11-03
202,569,2013-08-19
188,3143,2025-04-29
202,2322,2013-04-21
202,4518,2000-03-06
122,5579,2018-08-31
13,6575,2020-08-01
95,1156,2018-05-11
171,2037,2025-01-31
202,8056,2004-03-11
40,7232,2022-09-06
202,3743,2008-10-02
78,5172,2022-04-21
201,5042,1984-02-21
84,8582,2023-05-04
21,7355,2023-05-27
201,1759,1977-08-25
153,1106,2018-03-26
202,8522,1996-11-16
18,1148,2022-03-08
197,4667,2018-01-28
20,2529,2018-01-28
179,3304,2018-09-20
129,4107,2022-09-22
201,2472,1964-05-17
17,3219,2017-11-20
201,1023,1972-01-12
105,2953,2022-06-20
178,6277,2020-03-03
145,5551,2018-01-20
202,6146,2008-08-14
202,4669,1995-03-20
34,1675,2024-04-10
34,6699,2019-12-13
202,1088,1999-04-13
105,7156,2025-01-23
202,434,1998-08-08
78,5438,2025-06-26
120,3616,2017-12-03
58,3575,2017-09-13
201,7402,1992-01-15
98,2239,2019-06-07
178,7837,2022-09-25
202,1603,2002-12-28
202,7288,2016-06-10
85,8007,2024-09-25
202,328,2002-04-24
201,280,1950-08-18
202,6913,2014-11-08
202,4084,2007-02-21
161,5112,2018-09-27
202,2538,2016-01-30
202,5417,2005-06-12
202,2690,2015-11-24
84,4115,2017-04-20
202,4946,2003-03-01
3,2431,2023-03-08
135,6945,2018-08-30
202,1815,2015-08-27
86,4909,2021-10-24
37,3034,2022-06-29
52,7570,2023-09-04
202,6930,2000-02-02
194,4010,2018-02-23
192,6662,2025-08-17
121,4237,2023-10-21
123,290,2021-05-16
202,5024,2004-10-17
201,3770,1962-06-17
100,6920,2022-10-01
7,961,2020-02-16
151,176,2019-09-22
150,2041,2018-01-09
202,7921,2004-11-10
9,4373,2024-04-06
196,3570,2023-11-13
138,1111,2021-07-07
25,7510,2022-01-09
123,6656,2019-09-09
168,958,2023-12-06
202,3016,2009-12-08
202,261,2010-01-26
135,4196,2020-08-06
140,50,2020-11-15
33,8420,2022-04-17
201,5690,1974-09-26
202,268,1997-10-19
