SID,MID
113,6097
58,5650
48,4020
195,329
102,3344
29,5021
55,5127
113,5241
185,7534
56,6515
4,4808
108,4848
62,3986
145,8374
173,3640
126,3192
99,1474
123,2695
192,7123
23,1829
47,3687
29,1684
23,8732
112,7300
34,615
133,6775
86,3836
3,7814
189,6957
50,2873
50,3675
42,5530
95,830
62,5289
77,2965
168,7052
66,8670
13,7202
184,3961
84,3137
61,6650
77,3119
85,1200
38,1318
110,3589
4,1102
103,6529
78,4413
103,5397
79,1736
66,1574
189,1205
64,5205
12,3377
8,8190
30,6978
158,2707
105,5419
66,6629
133,3360
190,2808
97,1425
79,3817
36,2080
32,4574
81,2566
18,3914
143,599
175,2629
162,343
130,2638
168,4730
36,217
46,4220
184,3526
68,3543
181,3370
91,1546
151,4315
81,8080
102,2353
82,284
43,6328
107,8790
54,8422
58,2047
67,7011
45,7213
126,8473
24,8714
105,499
10,323
111,3982
197,5281
53,380
109,4672
59,915
25,8567
59,6777
47,8153
168,3231
161,3475
31,1665
109,3259
167,6592
126,8789
44,3296
160,3983
164,1647
125,4460
189,7134
65,2533
181,1434
129,338
110,3128
88,5631
110,2877
114,5966
113,6578
185,7230
112,4102
198,2414
3,6157
177,1328
191,2355
169,8652
76,7287
132,7472
68,6453
178,5604
123,2378
109,1690
94,3162
56,8287
152,4403
8,6450
62,2250
122,7936
145,4421
149,1327
55,6324
138,8796
94,221
150,4411
35,6095
103,1876
144,7959
35,4912
84,7332
180,8605
120,3731
80,2915
139,6962
73,6606
168,1824
168,1404
108,2396
22,2505
10,6947
176,5163
166,4757
99,7311
59,4620
143,207
187,1978
6,2305
143,2818
41,5671
173,1853
85,2987
167,3160
173,623
140,8329
86,7254
154,4302
50,8693
33,3
61,1892
85,2367
94,6681
15,1664
40,8645
179,7593
190,31
144,5884
79,7083
148,2525
189,5350
164,1314
12,5576
176,1194
27,6778
183,2523
120,1597
71,6729
41,6065
150,1413
98,2668
4,5414
148,4340
185,6706
69,6788
160,4545
5,700
144,7686
9,6278
145,2193
101,2361
25,5363
181,5980
165,1703
57,6935
30,7160
3,5136
70,5461
72,2950
38,5986
177,1433
121,1448
54,908
15,6207
104,7640
176,7635
176,2408
86,719
149,7804
23,2269
115,3660
17,5476
160,3928
148,758
94,847
90,335
58,5078
146,2933
10,6197
113,460
69,4625
80,2584
148,6193
170,801
31,1554
119,6959
38,3232
62,443
139,1296
95,6385
1,4048
23,3712
88,2066
74,7192
5,3745
56,6906
148,6881
149,516
198,4690
118,8120
78,124
28,497
161,2890
89,54
175,5845
152,1278
48,2253
161,2604
57,6247
12,4410
150,8282
46,7091
44,1103
3,4535
196,3066
78,5122
32,5434
178,7182
182,1181
69,3848
17,3243
106,7309
149,7918
39,4561
56,3778
76,6457
32,8505
84,706
172,8270
178,1591
55,3839
8,2663
76,6963
128,1740
51,1215
35,1902
136,152
37,7093
196,4385
83,8762
131,1630
150,2897
157,3378
199,2835
128,3489
45,5384
109,561
124,387
161,8167
60,4189
98,1689
175,6038
134,2898
160,8531
53,3469
115,6960
142,5376
8,690
107,2175
72,4763
160,4753
166,4242
3,7270
117,1180
28,1525
123,2857
96,681
126,4615
5,7364
158,1681
83,2439
26,2243
126,1718
47,3159
68,5597
191,2
144,4004
110,190
168,6677
108,7856
184,6486
39,8186
185,8049
42,1863
33,583
94,3229
107,1496
117,5215
15,8661
29,2064
98,2920
89,3405
91,6599
125,8432
93,6306
89,1656
81,3545
162,4862
177,6257
18,1376
80,5008
173,5091
17,8389
184,3185
155,5831
41,8007
36,5803
58,7795
144,6513
153,2783
113,3844
50,8423
181,6118
70,3274
64,3299
44,7840
183,5036
71,3102
38,229
130,1567
116,7797
98,4277
141,2526
199,6771
90,4596
190,8304
20,5268
14,3608
156,3294
115,2824
78,7681
113,4540
133,902
181,4173
115,6583
174,4059
152,5093
46,2547
195,6371
53,1412
132,5865
113,7962
113,4858
180,4256
3,2716
63,4274
73,2669
190,4829
16,932
56,8744
104,3615
97,5692
134,3987
2,1697
169,4970
83,4932
74,4968
82,5490
36,6620
68,704
125,7497
157,8402
179,814
159,8015
144,2732
189,8456
20,2210
29,5611
191,3045
179,3076
33,8497
116,6557
164,4889
86,5556
91,1739
137,6283
120,6374
43,3098
123,5575
128,470
154,238
76,3617
93,3257
105,907
161,7280
82,6368
47,6384
35,8327
180,2007
55,7100
162,7842
61,6188
112,6658
58,8724
157,4105
49,6249
59,2855
189,4323
1,4987
151,5511
57,2390
78,1618
184,1056
100,2703
74,863
100,2563
163,8202
161,8610
138,2740
46,2232
72,1986
98,4934
21,6854
105,8113
183,8490
198,2095
172,5789
77,4172
179,6430
20,4474
185,1969
92,6989
187,1801
151,1577
158,3395
2,6497
86,1209
113,2917
55,841
21,4824
39,8024
159,3353
113,2963
182,89
16,1183
98,1390
64,301
170,2059
90,4273
81,5439
137,110
79,7395
52,5039
166,8449
145,4659
152,7066
79,1828
80,3027
57,4998
88,8211
145,2639
68,1438
122,8658
21,3827
76,5976
106,3111
127,5744
139,1382
1,5775
137,6746
171,8311
172,1516
22,5851
66,6929
187,14
72,7490
121,417
164,7943
194,6752
156,6769
75,1116
23,5796
51,744
41,4790
88,4311
164,2246
156,478
95,1809
151,2934
53,8094
192,7466
107,2554
83,7340
171,3146
173,4786
102,8399
88,7720
5,8338
106,2383
105,2595
182,332
94,4476
182,4605
150,990
78,7199
178,5135
169,7183
14,2118
36,790
120,2377
134,360
10,5728
104,100
10,3648
21,2488
93,6155
167,7683
194,1589
76,4433
96,6992
70,4284
90,7626
52,3356
156,7138
91,8243
165,4664
69,2127
183,1856
50,3041
67,250
139,3644
89,4449
171,1510
4,357
186,5262
138,3762
73,7945
30,1655
130,1963
160,7625
38,2771
150,4291
47,5084
161,8443
8,2832
153,252
82,325
24,8731
112,4807
155,2986
45,2632
182,6018
7,4325
122,439
176,5447
66,3411
184,8302
98,5010
7,7176
73,8127
141,4965
76,528
66,1880
129,2988
27,2550
190,6201
42,7942
31,4400
102,1527
178,1086
191,8666
23,5583
186,1666
64,8324
17,5165
179,3765
13,1995
168,6981
142,713
148,8162
157,919
173,3763
185,3309
185,3944
165,8522
143,4725
88,4917
111,7440
48,6092
26,3684
80,3138
44,6316
143,8054
85,2014
61,401
108,5288
112,3708
21,2769
199,3536
146,2848
197,4954
177,2096
6,677
151,5150
111,5421
84,7429
19,5929
107,7726
83,8187
32,530
20,3635
132,1580
78,5762
60,6839
76,8553
36,8580
85,2180
134,2289
105,8651
184,2352
86,1775
145,8396
121,4209
89,6334
188,1576
22,6380
104,8766
19,1568
29,6286
190,1878
59,1351
138,3811
64,2411
136,8223
192,994
39,4957
164,7218
34,2964
127,3662
24,3706
143,2560
124,2482
91,7629
44,6162
38,1711
130,2430
189,8576
2,4303
146,3966
58,2760
141,6794
102,5054
35,2605
48,8246
41,6027
114,1560
162,8363
188,1850
68,5
54,1502
77,6270
176,6858
101,3116
99,5750
39,7515
158,2944
52,356
104,368
81,5271
154,6938
50,1330
190,3262
44,2441
148,3868
70,5613
106,3446
55,8280
2,4679
55,4868
181,4128
56,258
197,7957
134,864
144,4304
60,859
6,5712
15,5725
114,7849
50,5968
22,4195
38,687
183,4895
56,6220
128,539
111,8656
34,5166
79,6137
112,1373
76,3941
187,3690
58,2536
151,449
69,2999
73,8585
180,8468
149,1900
60,83
175,1886
104,5677
133,3657
102,1925
176,3372
57,1184
103,280
175,5331
190,961
145,6974
137,3479
139,5321
104,7384
45,5629
33,7753
147,6467
188,3449
166,6424
199,5474
58,4392
71,3110
113,8440
1,1675
68,8249
130,6623
169,4869
124,7512
142,1996
19,1643
116,2492
150,4432
200,1776
112,1646
56,4253
133,5932
30,926
36,4855
141,6537
39,8477
58,5125
144,8370
199,638
26,4525
137,4300
69,2739
37,2511
163,7162
35,4541
63,1105
106,6388
199,7602
98,6468
50,6806
155,5260
26,8546
159,945
61,5993
145,272
73,978
81,3277
45,7047
138,7451
122,1679
91,3583
198,4360
199,1836
24,2514
51,1634
56,5385
18,5068
173,2599
117,269
111,6617
136,7944
112,5819
108,612
34,3331
146,4041
141,261
64,8079
119,4853
42,3760
190,8209
29,7805
18,1158
64,6820
83,818
122,4546
146,3573
72,3819
197,7627
9,7792
116,8095
93,5169
12,4262
125,750
108,218
46,4122
96,5232
6,4775
200,2715
136,4238
74,8565
177,8001
39,2042
108,2403
112,1893
21,2023
9,1276
39,7671
107,7278
176,2384
187,5664
198,4592
149,1493
58,4185
189,1383
184,1128
47,8454
128,2072
159,5508
31,7022
22,5998
15,4218
118,6753
11,6441
4,2971
21,724
74,2444
199,5393
27,794
128,5600
179,237
87,6370
40,3561
152,6469
187,831
151,2925
91,3552
192,559
182,833
136,6175
172,2712
20,4739
18,7852
121,2906
63,7317
102,1604
10,4633
115,3390
10,3318
61,6619
1,5095
54,5428
103,5935
150,3326
131,2109
96,2024
109,4210
94,3123
92,4362
136,5735
17,2345
147,5251
164,2354
150,2379
106,5721
200,5287
116,6954
179,3906
67,5588
156,7094
80,1458
172,7448
189,1729
54,7253
102,4426
138,3770
140,6694
181,55
162,3075
175,5482
63,1870
64,7388
124,3890
161,8560
181,5992
85,5329
189,3149
18,3212
162,1037
19,7063
20,1781
158,3498
153,3911
23,4366
139,529
141,2980
124,6969
101,7173
29,4979
56,6754
123,5502
100,4580
27,6170
30,2372
197,4270
113,6675
149,5315
45,8568
48,2979
173,708
133,1446
156,6801
64,8137
188,8441
85,5309
45,5110
119,1800
121,2058
167,7190
26,4099
50,4737
102,2500
164,8431
31,4190
108,6362
155,5349
69,3120
158,5114
20,1756
147,6196
29,3717
178,536
16,586
168,4459
186,291
42,126
149,1288
31,1791
27,8016
116,553
114,6129
75,5479
87,2022
69,4200
128,5238
91,7975
47,7460
7,5987
68,396
76,651
20,7966
63,595
119,3493
119,2659
136,6064
91,4892
84,2782
38,4712
118,120
150,3127
193,611
24,7861
171,5191
25,8200
64,1359
65,7592
146,1617
1,1361
38,1267
78,191
155,2509
49,2722
140,1407
153,2502
155,8336
165,6603
51,5874
164,2625
164,8279
88,1427
198,7604
12,6512
149,2538
182,6377
145,458
15,1135
174,2626
41,921
53,7482
50,6983
18,4462
196,6799
48,6871
64,6879
121,6345
65,2114
193,494
161,2449
192,2903
97,6622
31,6409
191,233
13,1071
26,2001
12,3500
89,6144
116,4202
144,4224
180,5946
25,1099
181,7694
120,6181
158,7057
11,4877
42,2104
116,3153
130,7165
62,8097
19,6539
196,524
52,5680
99,4818
111,2531
8,6000
49,8376
46,1010
38,342
16,824
38,1637
125,4678
188,8158
92,4155
8,7153
80,6915
71,4732
120,4505
50,7496
175,6056
89,8494
155,4259
133,2286
4,5226
160,4537
30,3260
39,2939
115,3263
193,6329
29,481
56,3426
195,2308
9,591
164,285
12,8073
71,6609
3,2189
90,3088
4,893
87,616
28,4657
36,6649
66,4013
144,6218
102,1823
63,1338
43,6586
168,8386
48,294
138,6723
125,8140
131,2398
12,2521
23,1857
63,4686
83,563
16,4031
31,463
90,7574
26,5094
182,479
56,415
22,4393
170,3678
19,6800
32,1306
12,2362
71,5753
126,1944
60,1246
35,1091
160,5747
27,8375
65,7591
121,6783
84,8046
102,348
44,3790
117,892
122,2529
39,6912
187,7304
195,7831
5,856
156,7163
89,717
37,1077
165,8519
18,6966
72,7032
26,4394
110,8295
112,5442
156,5607
77,4767
24,1162
2,4588
181,2789
187,8210
8,3934
30,3594
36,5344
126,2983
95,3421
155,7741
44,4632
173,6047
25,5891
52,8233
153,4881
50,5469
99,3337
26,3680
119,6674
169,2778
134,3105
88,8093
200,566
196,6727
180,6856
63,6435
78,1970
126,5457
114,7355
100,3284
170,7632
31,811
93,8138
89,4084
9,4719
172,47
63,4219
9,1556
53,5709
166,5812
7,5221
40,5108
113,6445
118,5899
190,4597
124,3621
13,6363
4,4183
57,7541
138,3197
108,5672
154,7979
177,5822
120,2290
30,234
189,2338
31,1598
111,3092
145,4028
23,3376
120,799
49,8132
41,8285
35,7869
199,4713
92,8084
79,6431
144,8803
46,8214
115,4370
38,7433
73,2765
188,552
7,508
196,7242
191,770
123,7999
48,7469
158,8669
56,7558
146,4609
124,3089
180,1358
13,3176
195,6756
199,1701
164,6524
12,1347
25,3302
51,2570
185,1207
95,7882
16,4228
99,7836
111,4812
167,4698
186,2413
117,2758
56,3179
127,7594
53,5842
144,4816
164,2282
39,7954
23,7688
104,5452
155,3485
77,4178
164,3878
164,5621
186,2621
87,875
60,2497
45,4439
42,2611
47,2099
159,8032
172,4628
89,2228
65,5885
173,1952
175,662
145,1932
146,5519
145,4548
87,4268
111,7952
134,6348
40,4589
57,3283
61,8377
141,188
163,2741
156,4554
169,2402
110,2601
74,8574
80,705
192,5875
188,1833
175,6174
138,57
192,7894
90,5883
184,2699
33,5175
1,5570
57,3431
120,4864
100,8516
8,8078
110,4342
99,6454
12,2368
165,575
125,3203
39,1783
142,1258
179,257
60,8381
20,2434
169,8527
188,3783
115,376
92,5857
50,5808
65,1117
12,2288
2,4759
71,7099
42,8419
178,5276
193,7207
96,3371
26,5011
67,3000
98,8188
102,6693
13,8278
78,7922
67,6731
133,1491
30,3303
136,8380
31,8300
189,7459
162,2819
130,7978
66,3483
47,3568
120,4778
36,3685
151,7045
2,8403
144,6429
94,3097
171,1764
178,8503
147,4447
169,5718
130,1402
167,6588
19,6330
136,4512
33,8501
91,4641
116,2348
158,4861
92,4464
140,1933
53,1611
192,8
132,3609
146,2331
97,5675
16,4518
34,8174
32,5532
1,5569
190,890
77,3646
144,3253
40,3707
5,7876
90,4870
21,3462
49,1344
163,4621
59,5627
179,8795
62,8644
66,6522
179,1687
102,6556
36,7759
146,4593
57,6827
92,3705
1,8520
99,2989
145,3404
89,4566
12,1213
58,1842
165,3679
55,1219
119,8242
67,171
68,4339
39,3199
110,8215
115,3036
78,1585
9,1700
25,2588
120,8117
157,4773
51,4906
133,6150
116,109
191,5012
92,440
97,8121
40,6235
61,3323
70,7505
86,3904
151,444
174,6229
100,265
156,6426
41,8641
29,518
157,4494
9,2836
185,1845
157,6365
103,8134
73,2169
43,1216
139,1231
137,5243
31,3833
13,6985
143,5518
185,3711
138,3394
47,1550
10,1052
66,7776
134,949
132,7524
199,1322
16,1912
54,5741
7,752
153,5171
168,7061
54,6530
2,88
17,846
56,1819
181,5043
59,498
67,8037
75,467
14,4937
170,2412
37,6508
141,112
3,3610
147,7231
91,5025
18,1017
58,2027
95,3590
176,5211
125,1873
124,2701
159,4187
195,610
66,6206
128,7303
87,1333
146,7062
172,1713
181,8639
188,4792
93,3239
186,1058
153,3281
23,2140
69,2334
71,3901
73,3478
190,2038
56,316
66,3312
78,3094
67,946
169,1670
113,6712
136,8124
62,8438
41,2479
89,3354
199,4919
178,1069
142,5981
37,228
183,7791
12,5661
198,8709
133,4509
145,7391
22,6618
162,2173
6,6684
155,1724
86,6870
31,3948
96,1134
44,166
52,2003
109,726
2,4837
145,5069
146,4467
14,3186
9,333
174,1947
6,2132
174,1239
140,7236
142,1357
168,4610
54,5776
21,2186
36,8264
99,1570
5,8488
103,542
72,7157
114,2966
65,1221
194,8348
140,1
14,3207
41,8000
88,5497
29,1710
46,5919
38,3666
148,1953
114,282
30,8719
12,5915
55,1137
9,7431
166,2423
186,5587
116,5505
40,6639
87,4140
63,4009
93,3957
148,3720
144,5683
73,6024
121,5372
194,8260
8,2092
54,328
177,2562
163,5939
1,433
195,7029
31,215
179,7643
152,3314
179,3947
83,5978
23,7833
191,3445
5,6534
127,3689
192,7709
42,8573
182,6203
175,4287
23,7360
58,5810
40,487
130,6055
15,4553
108,5270
178,8195
107,7008
76,6029
169,2691
74,5212
116,715
62,5183
188,1068
120,3131
196,3614
115,288
33,7259
66,1839
80,8319
30,3840
103,6364
82,8437
128,411
59,5107
10,1659
31,22
162,2157
191,6616
146,7158
18,927
32,441
143,2686
124,972
89,8221
124,3188
46,8679
12,8685
183,2317
49,6796
130,6549
162,1940
45,661
52,6672
22,7349
164,2083
45,5188
145,3154
96,6751
115,789
14,17
199,7373
53,3627
96,1064
191,6532
22,5716
112,4724
181,759
198,80
13,5545
152,751
23,2236
182,6571
154,4407
148,5217
50,7986
138,2067
48,4088
146,6905
102,1240
70,4152
170,2303
165,8317
24,625
155,2571
48,4176
184,588
102,4153
125,2888
2,3389
56,4976
27,2155
73,2761
37,1707
104,7718
131,16
151,7368
170,5625
179,2394
48,5526
100,8725
39,4498
90,5852
56,989
22,1389
107,3187
131,2456
17,7234
37,5239
103,1201
87,4951
117,4521
111,3633
45,5236
186,3178
121,5383
155,2265
87,3618
18,114
113,658
71,7897
90,6504
5,384
30,5380
155,736
171,2646
152,3547
10,7043
101,8071
134,87
118,7137
112,1157
26,6516
133,7113
40,8793
25,6392
165,7422
168,8036
68,725
53,7649
87,3692
117,4582
41,7077
84,1984
72,2834
168,2992
137,1620
60,2564
126,1114
14,5466
144,1583
97,8800
157,8459
53,2276
180,8023
160,5994
182,4510
163,1788
108,3643
55,860
150,1810
141,4780
60,6251
107,1186
77,3223
27,3062
154,2647
36,6216
144,3014
142,5879
68,7393
71,2991
81,6902
91,6413
133,8730
30,413
53,3832
138,2862
44,3427
91,7079
29,8540
86,5427
32,1211
161,330
167,4388
175,3085
177,2256
131,4962
118,5936
31,8122
40,4850
80,1375
117,1270
187,8411
17,6901
100,1748
13,8115
133,3779
71,7308
147,2040
187,7072
196,2427
127,3055
75,8192
51,8322
77,1614
96,5977
167,6059
66,6892
15,570
68,4405
173,5780
190,5080
200,1264
25,7533
44,7376
31,8640
176,1766
114,3808
161,4136
69,7252
45,3038
132,3523
49,2982
200,419
64,7825
33,5102
146,660
2,8293
10,1229
31,6209
69,1696
61,2205
39,5652
88,795
13,8359
127,3320
21,5907
85,5861
190,7646
48,4414
158,8133
16,8442
119,3809
31,6398
21,6115
6,3559
45,8347
171,7296
152,2864
102,2446
52,4530
92,1326
149,7518
132,1387
37,3466
103,5515
56,6638
89,3506
174,59
122,1557
124,2688
124,292
13,1305
145,4943
83,4752
108,1048
15,3611
57,8428
74,8450
23,1864
23,3746
17,5138
133,1182
55,4073
106,1913
110,4297
65,3450
27,774
198,6758
183,4630
175,6547
137,7737
143,8225
179,3157
193,2831
73,3923
191,1235
133,980
144,3270
130,226
156,8410
159,5628
176,4095
63,3226
154,6267
83,517
172,7752
157,1575
18,3332
44,2974
72,2436
155,4170
103,4750
173,8472
108,8147
74,5794
103,6895
189,6054
196,7575
81,4799
4,7895
145,6304
100,1837
146,3658
191,3240
114,4946
130,3784
41,1855
143,7672
52,504
85,2657
94,3310
79,943
117,1377
67,4380
10,2773
35,4689
3,2924
78,4880
194,8026
140,5463
91,3023
89,4040
120,5485
30,183
61,6145
112,5097
117,5638
17,6696
76,928
157,2882
116,4054
153,2301
81,5964
54,535
40,1956
186,8757
99,509
39,5564
129,4091
13,7012
18,7144
35,8125
31,5634
85,4271
186,8044
186,2029
50,6108
136,8495
118,2401
2,1285
19,8660
90,3311
86,1894
118,703
87,6591
117,5520
12,7219
82,5206
33,26
167,6320
164,2068
88,4671
117,6462
193,1269
84,1605
25,108
115,5898
103,3306
93,1973
166,8526
132,7546
63,2063
98,5489
6,68
126,2048
52,8618
191,1041
51,3973
139,7321
51,7763
71,4150
128,7971
171,7544
116,4491
11,1536
133,4726
165,4070
108,520
162,2443
75,3595
74,1057
79,2223
47,8354
42,4967
60,7223
87,99
36,3279
136,6717
103,4694
117,8572
189,5119
54,2756
169,6352
191,7540
49,8366
194,5277
194,3936
176,7719
140,6276
198,2117
17,6937
96,3145
111,493
171,3850
158,5026
200,1506
46,5247
59,7055
165,6326
46,7301
168,3587
190,3118
58,4478
193,1784
195,6734
32,4468
163,5141
148,3129
72,6215
115,7413
149,7900
132,5433
101,1901
136,8159
62,8148
68,3531
129,5453
182,8123
158,4453
151,4579
145,1943
174,5876
198,5324
89,8092
145,4395
51,3876
165,7334
194,2990
98,4673
80,213
146,1196
112,2045
95,3383
199,2937
127,7974
77,1564
43,4598
165,5829
115,3670
10,3194
46,1602
85,1022
81,6080
47,451
128,2779
171,7684
17,3529
2,6894
98,1144
98,8612
119,8108
48,4457
66,363
88,1159
64,2612
182,373
109,278
70,5007
76,165
43,965
100,2905
38,4368
65,3142
127,7257
198,3802
142,7898
180,6725
132,7937
23,3290
57,6558
197,2806
164,5077
9,1352
65,8801
142,3555
169,7026
128,8544
148,2056
145,4316
55,5096
101,842
99,547
2,8636
129,5657
195,7015
55,1464
34,2613
87,6576
34,5416
23,3215
195,1552
7,7268
181,23
147,3022
150,541
14,5784
126,3114
78,6862
148,4515
141,8689
82,6869
80,412
149,2969
134,4186
133,2448
76,8791
186,3584
89,81
137,7282
96,3183
52,6569
53,5230
106,346
8,5882
182,7240
85,1230
21,5116
111,5269
4,3155
34,7474
192,5112
25,3888
184,3538
14,3254
1,6710
57,4648
74,3585
200,1424
41,4252
144,8099
185,8492
64,5168
82,7599
151,5465
174,1480
38,7227
38,7462
67,1795
104,5836
187,6381
33,216
16,4910
193,5334
102,4603
176,5970
65,1816
104,1065
166,2868
78,3343
87,1354
76,1030
75,2043
145,8048
121,8020
187,4383
60,3943
86,4913
186,3758
93,6846
193,2698
141,3018
31,375
15,1907
185,3727
75,4207
55,641
100,3742
12,1558
39,3664
97,4706
46,1755
195,938
21,5941
98,3392
81,5202
62,843
150,5595
182,1545
100,6436
38,3486
73,7005
72,3104
17,1688
35,5325
87,5488
89,4911
180,3649
176,6440
31,6311
168,7088
100,2973
147,2242
185,1236
61,8390
156,6621
139,3925
114,8369
11,371
119,471
9,1242
187,477
26,5567
30,5654
145,6030
58,4248
115,4680
9,7082
83,5943
154,3663
199,7698
25,1512
178,3351
99,2299
19,2494
139,4771
182,2675
164,3374
64,2723
183,7637
96,2757
90,5145
77,5121
81,8715
110,7504
62,4617
9,3534
164,7909
176,7770
108,562
47,5174
97,5630
2,7009
46,6715
186,423
147,5031
130,7217
173,7712
13,2399
47,8196
174,4734
30,6032
24,2976
195,7656
108,8541
142,390
179,2766
113,3815
200,2847
42,3841
125,6739
3,8131
153,4246
122,3174
97,341
149,2653
56,4427
52,976
9,8038
140,4670
180,6742
47,7307
90,6228
46,4834
151,8360
123,8217
40,7820
198,510
93,3117
113,4571
196,473
33,3416
135,8703
104,6646
199,4442
193,6949
112,3522
183,6994
192,4918
14,7071
73,4977
84,1951
50,912
9,621
83,5354
90,6967
161,4223
33,7827
69,3236
53,1473
156,8400
141,5089
190,4444
113,4387
158,8383
182,6091
33,3266
196,4817
155,1337
168,3985
44,6733
143,244
70,2670
111,7757
20,7276
26,4125
193,6812
92,197
36,4631
128,2032
80,2557
99,6736
13,1160
121,2021
56,5917
3,3565
117,5379
166,4985
159,8743
152,4735
106,7926
75,1723
11,7465
100,3375
104,7044
134,2839
92,2515
117,659
85,2814
142,8014
51,6076
79,8804
17,624
195,5458
31,5577
130,7611
22,8736
96,8525
24,7601
171,1768
31,3596
74,7035
141,694
177,2910
161,7018
68,4700
198,3167
107,6883
101,4663
45,5598
185,4018
105,5694
164,4111
40,7584
105,4683
88,5006
149,1498
47,4064
80,3086
26,6626
13,5128
157,8002
66,8746
65,2192
29,7345
91,4583
185,4247
96,6373
178,3005
37,6803
113,6299
182,4306
10,8156
95,453
61,5585
125,5507
58,7351
67,5957
84,5343
135,1115
174,4458
56,1874
69,8604
112,3847
9,1642
39,7128
192,5778
57,6379
187,1982
68,686
135,3205
155,2144
174,7702
90,2410
11,7787
44,8784
61,7291
85,6525
179,5824
123,8207
120,6297
180,8350
180,2148
194,98
152,1353
25,1138
185,2091
124,8521
61,7434
27,1662
28,3757
65,5075
53,2845
149,6176
36,1430
70,3598
178,60
161,2330
6,3781
2,4584
39,4404
186,3515
75,4860
25,4502
13,7263
85,7589
195,6396
85,7843
163,5804
110,8626
143,4514
198,543
189,5973
192,7375
76,1882
26,331
104,957
122,5798
85,6897
164,6358
159,8475
64,2167
98,1872
99,5751
109,7425
106,3959
86,1321
167,6224
194,7421
168,1431
174,70
42,7536
52,3419
35,7600
1,5900
184,5501
49,3282
151,6422
122,4350
76,1946
12,8255
13,6130
28,1885
162,2542
64,2958
110,1572
16,4288
133,7186
124,6285
184,5930
119,7717
64,4539
152,6664
78,3918
130,3532
101,4466
148,1405
124,4781
170,1683
19,5855
124,3003
181,7367
102,7400
146,4293
145,1026
129,139
48,4159
39,4595
96,7095
121,1825
184,2447
118,1178
89,1592
139,3349
7,5259
23,3698
56,2373
52,4811
23,5312
181,7075
113,7037
159,8051
130,3503
118,18
176,3063
89,8672
136,7880
109,1532
47,3473
38,7226
134,5764
36,845
126,784
198,6439
93,1401
26,3564
183,5720
149,4529
61,2728
72,5139
7,7030
41,7299
85,5710
112,2111
197,6050
145,569
136,8066
105,3317
140,7903
115,2680
120,8143
62,2185
13,3453
131,3591
133,2181
87,3830
43,7350
142,7550
2,4124
51,1726
192,6865
42,1520
32,8253
74,6851
106,5487
52,8234
29,7248
14,7494
26,2576
199,6948
37,1854
187,3804
149,7323
117,6325
189,4769
74,663
171,8263
47,6135
188,7004
167,8344
69,3501
76,5711
73,6545
182,275
199,6432
121,5997
147,8556
176,4003
29,7793
135,3537
154,1173
79,5686
19,1019
195,5411
169,5478
83,7174
122,4149
167,1794
56,7553
182,182
39,8272
51,4907
124,4167
94,5388
113,8028
157,1252
48,937
153,4016
90,2217
195,8013
35,1715
108,8420
26,93
184,1492
21,4619
58,7677
3,8035
194,664
69,1410
177,4245
81,7396
138,4856
96,7596
125,3463
40,5531
143,7479
72,1578
45,2617
91,1939
59,1817
103,5593
