CID,MID
96,8086
97,586
97,1490
97,1634
97,4440
97,6479
98,772
98,6738
99,1121
99,1690
99,1797
99,2447
99,3846
100,53
100,1848
100,2505
100,4664
101,1107
101,2622
101,2636
101,6624
102,1913
102,3546
102,4244
102,4863
102,4934
102,6917
103,1041
104,996
104,5104
104,6305
105,775
105,6253
106,1465
106,7669
106,8204
107,2091
107,6439
107,8186
107,8670
108,3542
108,4005
108,4120
109,189
109,3439
109,4699
109,7515
109,7977
110,1877
111,6841
111,7426
111,8798
112,592
112,717
112,4372
112,5778
113,656
113,5574
113,6773
114,1828
114,3116
115,4114
115,4343
115,4809
115,8210
116,7124
116,8616
117,1828
117,2466
117,2592
117,5274
117,7037
118,2343
118,5092
118,5377
118,7434
119,54
119,7015
120,2448
120,4316
121,76
121,2488
121,2781
121,5335
121,8202
122,2928
122,5490
122,6182
123,2657
123,4095
123,6589
123,7896
123,8318
124,599
124,1744
125,524
125,4599
125,4890
126,8318
127,2361
127,3259
127,5184
127,8651
128,543
128,2505
128,5252
129,2360
129,5251
129,6127
129,7979
130,2647
130,4501
130,6685
130,7424
131,2191
131,3084
131,6845
131,8690
132,10
132,2148
132,3532
132,6909
133,119
133,510
133,2218
133,4948
133,5311
134,67
134,1033
134,8006
134,8221
135,320
135,3721
135,6411
135,6739
136,1833
137,2315
137,5948
138,3934
138,5039
138,7706
139,1739
139,3924
139,5951
139,7489
139,7848
140,950
140,1593
140,4450
141,3173
141,3841
141,3947
141,5008
141,6104
141,6549
141,8616
142,1291
142,7208
142,8144
143,1404
143,4557
143,7129
144,2784
144,5237
144,6008
144,6855
144,7320
144,7963
145,1134
145,7355
146,8728
147,2061
148,691
148,1647
148,2024
148,2104
148,8322
149,492
149,2936
149,4156
149,5879
149,7788
149,7900
149,8504
150,1416
150,2706
151,4074
151,4343
151,5682
152,8646
153,6933
153,8458
154,3413
154,3471
154,6789
155,140
155,3296
155,5349
155,5518
156,526
156,5108
157,1564
157,6538
157,7721
158,6119
158,6518
158,8360
159,5136
159,7178
160,1939
160,8480
161,4304
161,7398
162,928
162,1418
162,1983
162,6452
163,2230
163,4062
163,4607
163,6250
163,7806
164,907
164,1992
164,3682
164,6373
165,1050
165,3216
165,8628
166,5540
167,345
168,998
168,3771
168,4753
168,7696
168,8044
169,3609
169,8605
170,118
170,377
170,1630
170,1803
170,8177
170,8207
170,8244
171,1164
171,2644
171,4559
172,965
172,2249
173,571
173,3751
173,5082
173,6213
174,730
174,1105
174,2067
175,515
175,5929
175,6961
175,8175
175,8666
176,4777
176,5414
176,5910
177,1161
177,2885
178,1539
178,2780
178,3012
178,3028
178,5028
178,8424
179,1909
179,3900
179,7193
180,3596
180,4563
180,4960
180,6372
181,3807
181,7954
182,3511
182,7348
183,2168
184,4874
184,7745
184,8807
185,702
185,3671
185,3982
185,5115
185,6317
186,2735
186,4804
186,7750
187,6379
187,6670
188,2445
188,2549
188,2653
188,3120
188,5326
188,8075
188,8348
189,1546
189,5190
189,8439
190,1589
190,5794
190,8145
191,1387
191,7063
192,5805
192,7417
193,4379
193,6799
193,6940
194,6736
194,8376
195,1507
195,3753
195,6261
195,6654
195,7185
195,7652
196,888
196,5078
196,5154
196,8049
197,1516
197,1613
197,2736
197,3714
197,6070
197,6331
197,7617
198,994
198,5390
198,7346
198,8650
199,3769
199,3999
199,6597
200,4456
200,5560
201,1791
201,2285
201,5318
202,4074
202,6021
202,8288
203,3140
203,3800
203,4934
203,8387
204,3117
204,5061
204,5352
205,780
205,2931
205,3080
205,4160
205,7908
205,8787
206,7351
207,1755
207,2297
207,6100
208,2139
208,2491
208,5992
208,6913
209,3007
209,6976
209,7274
209,8599
210,4353
210,4564
211,2014
211,2308
211,7167
211,7580
211,8023
212,4093
212,5433
212,6055
213,1236
213,3622
213,4658
213,5509
213,7440
213,7560
214,7261
215,1605
215,4373
215,4672
215,7406
215,8740
216,724
216,829
216,2513
216,3545
216,6959
217,242
217,2283
218,482
218,1529
218,8003
219,3873
220,2725
220,3059
220,3429
221,1598
221,2691
221,6659
222,803
222,4250
222,5565
222,6494
222,7957
223,959
223,1164
223,4101
223,7887
224,397
224,3503
224,6329
225,2318
225,5587
225,6571
226,961
226,1567
226,8042
226,8389
226,8735
227,433
227,2698
227,6142
228,1291
228,6044
228,6210
229,36
229,239
229,4239
229,7864
230,2341
230,3779
230,3925
230,4346
230,6126
230,6397
231,740
231,2596
231,4346
231,5454
231,7777
232,7258
232,7455
233,4674
234,6931
234,7709
235,7974
236,2537
236,4755
236,8417
237,1329
237,2510
237,3112
237,6677
237,6905
237,7300
238,4862
238,7713
239,3567
239,4234
239,4320
240,959
240,1488
240,2092
240,2626
240,4012
240,5339
241,73
241,999
241,1941
241,4334
242,2608
242,5139
242,5222
243,937
243,1471
244,822
244,1632
244,3440
244,3847
244,5152
244,7252
245,609
245,5574
245,5905
245,7812
246,982
246,1879
246,1888
246,8239
247,6421
247,8702
248,316
248,1071
248,2407
248,2580
249,932
249,1371
249,3642
249,6355
249,7808
250,7335
250,8321
251,1313
251,2046
251,5469
252,3045
252,8257
253,1123
253,8397
254,1114
254,3392
254,4004
255,3854
255,8408
256,820
256,3855
256,5557
256,6616
257,1965
257,5699
257,6847
258,2688
258,3515
258,4034
258,4132
258,7033
259,652
259,2627
259,7052
260,1344
260,4449
260,6914
261,2095
261,6869
262,22
262,2866
262,4488
262,8566
263,5184
263,7178
263,8006
263,8262
264,4273
264,7753
265,1288
265,3347
265,4838
265,5539
266,3938
266,4092
266,5148
266,6141
267,3611
267,3911
267,4580
267,5406
268,255
268,2205
268,4352
268,4860
268,5142
269,5857
269,6485
269,7576
270,1719
270,2145
270,2898
270,4772
270,6529
271,378
271,3530
271,4916
272,189
272,5618
272,7492
273,865
273,2303
273,5181
273,5529
274,1189
274,6184
275,153
275,621
275,4075
275,4505
275,4570
276,7509
276,8698
277,1639
277,4429
277,4658
277,8379
277,8549
278,1201
278,3766
278,5968
279,3493
280,3897
280,7069
280,7283
280,8289
281,2365
281,4346
282,2171
282,5290
283,5719
283,8722
284,1128
284,7397
285,3947
285,4003
285,7693
286,6055
287,512
287,1387
287,1968
287,4670
288,521
288,2585
288,3252
289,7180
290,4957
291,4225
291,8667
292,129
292,1830
292,2225
292,8137
293,4906
294,1526
294,1698
294,7705
295,2201
295,4429
295,7020
296,1495
296,3406
296,3696
296,4334
297,1892
297,7225
297,8290
298,1754
298,5716
299,1468
299,2547
299,3582
300,3734
300,4202
300,4463
301,3082
301,4617
301,5462
301,5868
301,6319
302,3451
302,4600
303,1838
303,5618
304,1203
304,2154
304,2474
304,3336
304,4811
304,5559
304,5878
304,7988
304,8741
305,1576
305,4326
306,1991
306,6533
306,8281
307,517
307,1195
307,3096
307,4351
307,7175
307,7552
307,8005
308,4115
308,7749
308,8181
309,833
309,859
309,1211
310,1513
310,2240
310,5422
311,4877
311,6940
312,4534
313,723
313,2569
313,6055
314,59
314,2405
314,3282
315,152
315,2174
315,2351
315,4487
315,5465
315,6245
315,7101
316,2144
316,3019
316,5056
317,2467
317,4292
317,4494
318,1971
318,2648
319,1747
319,7034
319,7240
320,4391
320,7008
321,159
321,2111
321,2428
321,8261
322,1833
322,6348
323,308
323,564
323,703
323,1233
323,2222
324,4
324,2443
325,591
325,5956
325,8534
326,4054
326,6050
327,2427
327,3909
327,4757
327,5954
328,3049
328,7042
329,474
329,2089
329,3279
329,7712
330,686
330,3783
330,4355
330,8566
331,1898
331,5051
331,8310
332,2707
332,3310
332,4471
332,5975
332,7856
333,483
333,654
333,831
333,1254
334,2523
334,5111
334,5863
334,6188
335,3442
335,3726
335,5990
335,6393
335,7234
336,1325
336,4089
336,6251
336,7446
337,1152
337,1685
337,1925
337,3121
337,7142
338,1545
338,5188
338,5405
338,5795
339,6659
340,2141
340,2533
341,3879
341,5871
341,6492
342,1705
342,2663
342,5257
342,6349
343,17
343,224
343,2901
343,6233
344,597
344,646
344,722
344,1041
344,3735
344,3862
344,6756
345,407
345,2300
346,2939
346,3589
346,4948
346,7961
346,8126
347,2572
347,3058
347,5443
347,7603
348,4026
348,5147
348,6746
349,2196
349,2756
349,3218
349,4066
349,6362
349,7312
349,7688
349,8084
349,8284
350,935
350,4372
350,4644
350,5782
350,5812
351,2609
351,5628
351,6644
352,1772
352,4945
352,5251
353,1816
353,6268
354,635
354,886
354,5811
355,1360
355,7712
356,2476
356,3645
357,3270
357,4186
358,72
358,4330
358,4467
358,7542
359,233
359,5729
360,487
360,1135
360,2800
360,3359
360,4146
360,4953
360,5001
360,5227
361,1427
361,3729
362,974
362,3653
362,7133
363,388
364,3165
365,825
365,4347
365,4662
365,6529
366,168
366,4766
366,5379
367,3515
367,3885
367,4565
367,5099
367,6361
368,1138
369,2403
369,4574
369,5924
370,5754
370,6849
370,8412
371,285
371,1209
371,5453
371,6251
371,6909
371,8347
372,489
372,5087
372,6549
373,997
373,5469
373,8786
374,596
374,1720
374,2842
374,5426
374,8380
374,8742
375,453
375,788
375,2598
375,6532
376,264
376,1890
376,3977
376,5508
377,4280
377,5652
377,6391
378,1690
378,2926
378,3473
378,7142
379,701
379,3975
379,4350
379,8511
380,627
380,1238
380,1875
380,8509
381,1777
381,5352
381,8564
382,2718
382,7120
383,2240
383,4383
383,5664
383,5851
384,4497
384,5140
384,6880
385,2006
385,2677
385,7150
386,6671
386,8380
387,1895
387,3896
387,4964
387,5952
387,6103
388,6312
389,3115
389,7907
390,4174
390,4460
390,4872
391,728
392,1247
392,2308
392,5317
392,5378
392,7145
392,8567
393,28
393,1085
393,1248
393,2798
393,3336
394,3354
394,3746
394,4986
394,8519
394,8658
395,3229
396,5968
396,8721
397,2473
397,7067
398,1147
398,7615
398,8761
399,1843
399,5000
399,5410
399,6184
400,5144
401,2042
401,3029
401,6132
401,6568
402,1785
402,4921
402,6000
402,7523
403,3044
403,6268
403,7947
403,8309
404,5068
404,6384
404,7321
404,8498
405,4301
405,6692
405,8478
406,5345
406,8740
407,1415
407,6593
408,1039
408,3817
408,4845
409,1383
409,2086
409,2655
409,6179
410,1212
410,1302
410,3144
410,4377
411,1869
411,6051
411,6447
411,6889
412,6212
412,7781
413,2852
413,6036
413,6614
413,7765
414,1736
414,4204
414,4931
414,7174
415,3771
415,6654
415,7323
416,7
416,973
416,1294
416,2132
416,4539
416,8330
417,3268
417,4979
418,4701
418,5470
418,6232
418,7008
418,8448
419,170
419,3444
419,7502
419,8579
420,7044
421,4921
421,5280
422,1678
422,7619
423,581
423,7031
423,7239
424,7245
425,3319
425,3502
425,4413
425,5293
425,5715
425,8130
426,8376
427,2243
427,3011
427,5454
427,6117
427,7753
428,2245
428,2781
428,6343
428,8669
429,1390
429,3901
429,5000
429,5160
429,6332
430,77
430,3695
430,4650
431,1803
431,4255
431,8446
432,476
432,3971
432,5492
432,5920
433,1118
433,1531
433,5629
433,8487
434,958
434,3849
434,3875
434,4468
434,6065
434,6661
435,2977
435,3174
435,3360
435,5086
435,7300
436,585
436,3096
436,3681
436,8002
437,3263
438,2415
438,7872
439,401
439,6434
439,8712
440,758
440,1565
440,5034
441,1397
441,1482
441,4012
442,7569
442,7785
443,1194
443,5683
444,1777
444,7462
445,2404
445,3032
445,3088
445,6791
445,6910
446,1388
446,3186
446,3766
446,4332
446,5466
446,7142
447,4964
447,6292
447,8471
448,3927
448,4397
448,6087
448,8100
449,4427
449,5505
449,6548
450,3998
450,4919
450,7767
450,8434
451,2418
451,3198
452,91
452,1914
453,1486
453,1747
454,432
454,6966
455,1159
455,3111
455,3586
455,4450
456,1996
456,2882
456,4597
457,8487
458,856
458,4383
458,6012
458,7419
458,7612
459,823
459,4576
459,7318
460,2482
460,4083
460,4420
460,5534
460,5615
460,5916
461,1989
462,1574
462,7479
463,1932
463,2185
463,4002
463,4167
464,6151
464,7613
465,1724
465,1817
465,1825
465,2077
465,2844
465,3217
465,8703
465,8714
466,1256
466,2871
466,3553
466,5199
467,7252
468,1790
468,3594
468,8271
469,424
469,4826
469,5834
469,6178
469,6992
470,171
470,3890
470,7306
470,8516
471,2608
471,5644
471,5856
471,6040
472,4359
472,5829
472,5975
472,7778
473,6281
473,7374
474,4247
474,5404
474,7761
475,3903
475,4051
476,4544
477,932
477,7357
477,8541
478,7940
479,502
479,1458
479,3920
479,5646
480,2261
480,4500
480,6381
480,7199
480,7828
481,2043
481,7207
481,7872
482,159
482,1270
482,1309
482,5459
483,4682
483,7726
483,8085
484,2994
484,3842
485,4129
485,4452
486,1662
486,5503
486,6678
486,6724
487,2283
487,5239
487,7041
488,174
488,1321
488,2056
488,7909
489,2268
489,2885
489,5724
489,5918
489,7076
489,7391
489,7517
490,1637
490,2444
490,2472
490,4573
490,5790
491,405
491,2254
491,2554
491,3789
492,101
492,527
492,800
492,6276
492,8360
493,1648
493,2504
493,4231
493,7901
494,3482
494,3506
494,7818
494,8393
495,1053
496,2092
496,6798
497,5216
497,6679
498,2841
498,4388
498,5422
499,3404
499,4245
499,7594
499,7613
499,7634
500,338
500,6813
501,1021
501,4360
501,6598
501,7680
501,8193
502,1143
502,2697
502,3389
502,3438
503,6884
503,8354
504,1065
504,1484
504,3919
504,6382
504,6444
504,7753
505,321
506,421
506,3855
506,6233
507,3721
507,7815
508,97
508,4222
509,5764
510,4893
510,6962
511,3861
511,6390
512,89
512,3304
512,5923
512,6050
512,6272
512,6866
513,3614
513,5136
514,8000
515,1585
515,2859
515,3596
515,8093
516,1756
516,2070
516,4472
516,5997
516,7175
517,3321
517,4602
517,5042
517,7141
518,291
518,3614
518,5988
518,7957
519,476
519,2512
519,2607
519,5142
519,7491
520,1462
520,2659
520,6109
520,6372
520,6910
521,3413
521,4740
521,5508
521,5571
521,6669
521,8807
522,2172
522,2368
522,5534
522,6625
523,2705
523,4716
523,8310
524,746
524,1113
524,5711
524,7658
524,8502
525,2092
525,7217
526,2432
526,8752
527,442
527,1372
527,5606
527,7405
527,8412
528,1015
528,1180
528,6456
529,445
530,1010
530,1376
530,2808
530,7235
530,7410
531,2282
531,5610
531,7023
531,7274
532,2224
532,4099
533,2088
533,2524
533,7565
533,7575
534,2978
534,3255
534,6717
535,824
535,6936
535,7446
536,1942
536,2102
536,3472
536,4263
536,8451
537,2319
537,4996
537,6212
537,7933
538,244
538,3086
538,4599
538,5364
538,7079
538,7807
539,85
539,789
539,1669
539,3468
539,5189
540,966
540,7450
541,2728
541,4563
541,5356
541,5397
541,5947
541,7265
542,802
542,4141
542,5530
542,5583
542,6157
543,2678
543,4943
543,6212
543,7793
544,1842
544,4559
544,5780
544,7078
544,7159
545,3005
545,4745
545,5684
545,6661
545,6907
546,4134
546,5411
546,6368
547,795
547,1342
547,3560
547,5742
547,8413
548,3799
548,6343
548,7706
549,318
549,1068
549,4328
549,7365
550,92
550,854
550,1238
550,6184
551,3200
551,5734
551,6152
551,7191
552,1664
552,2513
552,3581
552,3674
552,6342
552,8040
553,1125
553,6356
554,660
554,733
554,737
554,5491
554,5777
555,509
555,7002
555,7911
556,1909
556,4052
556,5043
556,5776
557,2587
557,3267
557,7739
558,334
558,7827
559,1004
559,1353
559,2497
560,3909
561,2069
562,7759
563,1875
563,3294
563,4553
563,5749
563,6754
563,7673
563,8394
564,1546
564,3572
564,4278
564,4947
564,6374
565,7620
566,4199
567,3484
567,6044
567,6494
567,8226
568,1866
568,2750
568,3414
568,4488
568,5366
569,1877
569,2352
569,2825
569,7699
570,2684
570,7756
571,1782
571,5097
571,5624
571,6079
572,1772
572,3019
573,421
573,6846
574,5112
574,7450
574,8141
575,5905
575,6150
576,6499
577,3250
577,6834
577,7774
578,1246
578,3708
579,545
579,3979
579,6538
579,8607
580,1670
580,6306
581,1281
581,4942
581,7049
582,1043
582,1453
582,1984
582,4633
583,673
583,2936
583,7114
583,8129
584,5689
585,1099
585,5132
585,5903
585,6795
585,8729
586,7019
586,7228
586,7383
587,2262
587,6072
588,795
588,1130
588,3601
589,8290
589,8649
590,1270
590,5460
590,5591
591,208
591,605
591,6987
592,6468
592,6883
593,649
593,3421
593,8032
594,1730
594,4767
595,7103
596,3526
596,3874
596,5250
596,5935
596,7434
597,389
597,3550
597,7533
597,8567
598,1154
598,2507
598,3655
598,7185
599,1562
599,2169
599,7061
599,7136
600,788
600,2886
600,2990
600,7568
601,8132
601,8549
602,4426
603,7922
604,1447
604,6339
604,7617
604,8760
605,5864
605,7137
605,7141
606,4398
606,8266
607,4544
607,5158
607,5281
608,2703
608,4023
609,1420
610,3111
610,4096
610,4570
610,5360
611,7386
612,1583
612,1710
612,3996
613,7614
614,2559
614,4118
614,6210
615,4321
615,5512
615,7091
616,230
616,471
616,3492
616,6014
616,8104
616,8164
617,8099
617,8341
618,4196
618,5326
618,6786
618,7634
619,2980
619,3991
619,4668
620,6388
620,7989
621,3476
622,3500
622,5814
622,5884
623,4233
623,5493
624,5577
625,1691
625,2549
625,4582
625,5100
625,6097
626,36
626,1910
626,4527
627,167
627,5936
628,573
628,8465
629,1512
629,1826
629,3131
629,3933
629,4946
630,1252
630,1375
630,1403
630,6337
630,6980
631,453
631,1792
631,2798
631,3955
631,8416
632,205
632,2204
632,3376
632,6659
633,3770
633,5455
633,8005
634,3938
634,6188
634,8098
635,652
635,993
635,2498
635,6156
635,7801
635,8306
636,184
636,508
636,1290
636,4426
636,8042
637,309
637,4291
637,6086
637,6578
637,7343
638,283
638,2370
638,8130
639,1041
639,1525
640,4817
640,4821
640,5120
640,6051
641,2836
641,3505
641,3631
641,4249
641,6984
641,8127
641,8575
642,5145
642,6626
643,1267
643,3336
643,3987
643,4391
643,7810
644,5017
644,6922
645,6040
645,6047
646,1529
646,5535
646,5645
646,7754
647,3579
647,7629
647,8699
648,2902
648,3645
648,4015
648,5633
649,6972
649,7826
649,8730
650,5420
650,7102
651,963
651,5765
651,6036
652,2882
652,7435
653,784
653,4439
653,5372
653,5387
653,5767
653,7256
654,4803
654,5024
655,3038
655,4119
655,7272
656,2328
656,3778
656,5968
656,7445
657,1466
657,1977
657,4802
657,6401
658,1871
658,3156
659,5170
660,1959
660,6544
660,6698
661,6032
661,8780
662,105
662,3034
663,715
663,3139
664,3546
664,5501
665,3041
665,6761
665,7934
666,265
666,2927
666,3168
666,4531
667,3190
667,8596
668,4637
668,6693
669,1648
669,5566
670,3181
670,6865
671,2567
671,4854
672,1512
672,3728
672,4027
672,5474
672,6694
672,7401
672,7572
673,1349
673,5913
674,1554
674,2940
674,5376
674,6189
674,7569
675,2300
675,2326
675,4953
675,7396
675,7980
675,8036
676,232
676,1575
676,2078
676,4826
677,2000
677,3120
677,5387
677,5674
677,8752
678,2074
679,1650
679,4495
679,5784
679,6875
680,746
680,2400
680,4021
680,4818
680,7015
681,204
681,212
681,894
681,3401
681,8048
682,2903
682,4787
683,1641
683,2069
683,6820
683,8285
684,878
684,7800
684,8043
685,1105
685,1681
685,2323
685,4386
685,7282
685,7299
686,201
687,1362
687,2495
687,4659
687,5364
687,7070
688,2316
688,2828
688,4763
688,5144
688,7691
689,4646
689,7844
689,8766
690,7217
690,8391
691,606
691,5583
692,2377
692,2801
692,3021
692,3203
692,6792
693,842
693,4684
694,1188
694,4137
694,6231
694,8742
695,1013
695,2582
695,5543
695,7828
695,8669
696,1254
696,1870
697,571
697,1071
697,2424
697,3315
697,8362
698,6566
698,7701
699,8057
699,8583
700,1214
701,879
701,995
702,2486
702,4872
702,6475
703,170
703,352
703,2445
703,6189
703,7163
704,4979
704,5130
705,395
705,773
705,1396
705,4435
705,5478
705,5968
706,2939
706,4067
706,4931
706,5161
706,6988
707,1941
708,3042
708,6819
708,7466
709,1480
709,3698
709,4149
709,6088
709,6746
709,8159
710,8261
710,8562
711,6233
712,5510
712,7382
713,2175
713,5008
713,7254
714,577
714,4872
714,8511
715,1743
715,2613
715,3854
715,4306
715,7026
716,1236
716,5004
716,8386
717,987
717,8790
718,1626
718,2050
718,5599
718,7852
719,2802
719,3405
719,7028
719,7925
720,3458
720,6497
721,2028
721,4336
722,1331
722,3055
722,5455
722,8433
723,1905
723,2574
723,5217
724,3930
725,109
725,2848
725,6018
725,6292
725,6718
726,1018
726,1230
726,2714
726,3973
727,2565
727,4546
727,5923
727,8253
728,44
728,1234
729,5469
729,5945
729,6694
729,7577
730,7382
731,337
731,2174
731,4649
731,7700
732,134
732,3063
732,3176
732,4772
733,535
733,3105
733,5130
734,2050
734,3793
735,2527
735,4721
735,8078
735,8556
736,2453
736,4633
736,7919
737,7439
737,8513
738,1167
738,2602
738,4968
738,7718
738,8012
739,1303
739,2233
739,3825
739,4010
739,6934
739,7286
740,2261
740,3901
740,4335
740,5363
740,5461
740,6923
740,7680
740,8372
741,3242
741,4781
741,5293
741,5453
742,2038
742,2650
742,2991
742,6159
742,6261
742,6630
742,6966
743,1881
743,2778
744,261
744,3684
744,8306
744,8410
745,2442
745,7442
746,4353
746,6067
746,8023
747,2331
747,4718
748,1170
748,1871
749,978
749,2401
749,3114
750,1377
750,1904
750,2719
751,5040
752,1501
752,4729
753,3272
753,5904
753,7196
754,1210
754,2038
755,6880
755,7680
756,855
756,4983
756,8678
757,821
757,4602
757,6298
757,6595
758,4461
758,5348
758,7022
758,8027
759,967
759,6535
759,8200
760,8091
761,1876
761,2869
761,6510
761,7173
761,8756
762,663
762,1318
762,1887
762,3329
762,4732
762,7673
763,654
763,2252
764,1529
764,7079
764,7978
765,5281
766,52
766,4103
766,5717
766,6266
766,8221
767,424
767,1789
767,3338
767,4795
768,1423
768,1497
768,2706
768,2947
769,3628
769,3751
769,5144
769,7772
770,340
771,4416
771,4439
771,6628
771,7450
772,660
772,2756
772,6255
772,6612
773,2871
773,3811
773,5385
773,7670
774,2833
774,6564
774,7709
775,2066
775,3722
775,7065
775,7451
775,7613
775,8503
776,2286
776,7246
777,4558
777,8419
778,169
778,2974
778,8758
779,712
779,7142
780,1393
780,4329
780,6801
780,8057
781,799
781,1143
781,1495
781,7565
782,2774
782,4488
782,5259
782,7701
783,5701
783,6409
783,8667
784,4034
784,4304
784,4361
784,5364
784,6691
784,7315
785,5461
785,8109
786,4740
786,5099
786,5261
786,6935
786,8756
787,1714
787,1909
787,2271
787,8420
788,2228
788,2635
788,6225
788,8134
789,732
789,3335
789,5404
789,5494
790,1254
790,3798
790,6745
790,7210
790,7829
791,2636
791,5610
791,8118
792,2751
792,4723
792,8315
793,4886
793,6562
794,224
794,602
794,3459
794,3806
794,4449
795,209
795,2535
795,6484
795,7452
796,1071
796,1443
796,3188
796,3627
797,878
797,5154
797,7465
798,245
798,743
798,2145
798,4136
798,7015
798,7028
798,8705
799,5297
800,1900
801,572
801,3407
801,5070
801,6623
801,8606
802,2170
802,8432
803,19
803,2402
803,6180
803,7413
804,7570
805,6771
806,889
806,4184
806,4503
807,1943
807,3074
807,3205
808,2208
808,4668
808,8288
808,8495
809,232
809,1227
809,5244
809,5928
809,7266
809,7492
810,4454
810,4789
810,5399
810,8168
811,1416
811,2801
811,6860
811,7243
811,7646
812,230
812,846
812,2825
813,1436
813,3336
813,6375
813,7953
813,8325
814,4376
815,2147
815,5329
815,5691
816,4720
817,3525
817,4330
817,7179
818,4083
818,5804
818,7942
819,639
819,1513
819,1990
819,2821
819,2839
819,7714
820,473
820,4991
820,8077
820,8383
820,8433
821,245
821,2714
821,3921
822,2595
822,3042
823,1477
823,1722
823,4365
823,4652
823,5092
823,6614
823,7362
823,8541
824,225
824,1830
824,6535
825,6685
826,156
826,717
826,1528
826,6998
827,3682
827,6816
828,1859
828,2071
829,7561
829,7956
829,8079
830,1482
830,1925
830,2392
830,4841
830,5565
831,2523
831,6627
831,6654
831,7059
831,8433
832,2799
832,6450
832,8166
832,8387
833,1288
833,2457
833,4039
833,4782
833,7804
834,448
834,1892
834,4618
834,8338
835,4480
835,5831
835,8785
836,155
836,2829
836,6808
837,6732
837,7906
838,1476
838,3663
838,6324
838,6431
838,7737
838,8566
839,3385
839,3994
840,3570
840,4314
840,6072
840,7484
840,8217
841,85
841,2370
841,7230
841,7719
841,8382
842,480
842,6285
842,6633
843,2325
843,3123
843,4862
843,6400
844,3547
844,4556
844,4917
844,6220
844,8328
845,1452
845,2237
845,5162
846,1144
846,3993
847,572
847,2815
847,4527
848,6799
849,2452
849,4816
849,5569
849,7762
849,8396
850,1296
850,6562
850,8134
850,8319
851,1469
851,3829
851,4378
851,6645
851,8433
852,43
852,243
852,7307
853,4635
854,2955
854,4892
855,5268
855,8023
856,860
856,885
856,1275
856,1316
856,2435
856,8341
856,8565
857,2122
857,5578
857,7317
